visit_date,day_of_week,visit_count,unique_customers,total_revenue,avg_revenue_per_visit
2022-11-27,0.0,13,10,124.5,9.58
2022-11-28,1.0,10,9,90.5,9.05
2022-11-29,2.0,11,9,121.5,11.05
2022-11-30,3.0,9,9,77.5,8.61
2022-12-01,4.0,19,16,136.5,7.18
2022-12-02,5.0,13,11,111.5,8.58
2022-12-03,6.0,17,11,103.5,6.09
2022-12-04,0.0,16,12,177.5,11.09
2022-12-05,1.0,12,10,126.5,10.54
2022-12-06,2.0,5,5,25.5,5.1
2022-12-07,3.0,13,12,101.5,7.81
2022-12-08,4.0,14,10,90.5,6.46
2022-12-09,5.0,10,8,53.5,5.35
2022-12-10,6.0,21,15,191.5,9.12
2022-12-11,0.0,10,9,40.5,4.05
2022-12-12,1.0,6,5,8.5,1.42
2022-12-13,2.0,14,10,134.5,9.61
2022-12-14,3.0,9,9,50.5,5.61
2022-12-15,4.0,11,9,59.5,5.41
2022-12-16,5.0,7,7,57.0,8.14
2022-12-17,6.0,20,16,115.0,5.75
2022-12-18,0.0,10,9,133.5,13.35
2022-12-19,1.0,8,7,71.5,8.94
2022-12-20,2.0,9,6,133.5,14.83
2022-12-21,3.0,13,11,109.0,8.38
2022-12-22,4.0,11,7,58.0,5.27
2022-12-23,5.0,10,9,78.0,7.8
2022-12-24,6.0,12,10,81.5,6.79
2022-12-26,1.0,14,13,131.0,9.36
2022-12-27,2.0,9,9,78.5,8.72
2022-12-28,3.0,9,7,96.5,10.72
2022-12-29,4.0,9,6,61.0,6.78
2022-12-30,5.0,10,8,110.5,11.05
2022-12-31,6.0,12,10,92.5,7.71
2023-01-02,1.0,9,7,55.0,6.11
2023-01-03,2.0,9,8,75.5,8.39
2023-01-04,3.0,8,7,60.0,7.5
2023-01-05,4.0,11,10,87.5,7.95
2023-01-06,5.0,8,7,20.5,2.56
2023-01-07,6.0,8,8,47.5,5.94
2023-01-08,0.0,17,12,174.0,10.24
2023-01-09,1.0,7,7,58.5,8.36
2023-01-10,2.0,7,6,62.0,8.86
2023-01-11,3.0,6,6,28.5,4.75
2023-01-12,4.0,8,7,87.5,10.94
2023-01-13,5.0,4,3,23.0,5.75
2023-01-14,6.0,13,9,211.0,16.23
2023-01-15,0.0,13,11,110.0,8.46
2023-01-16,1.0,6,6,55.0,9.17
2023-01-17,2.0,12,10,67.5,5.63
2023-01-18,3.0,8,8,74.0,9.25
2023-01-19,4.0,7,6,20.0,2.86
2023-01-20,5.0,10,10,61.0,6.1
2023-01-21,6.0,11,9,101.0,9.18
2023-01-22,0.0,10,9,99.0,9.9
2023-01-23,1.0,10,8,82.0,8.2
2023-01-24,2.0,8,7,63.0,7.88
2023-01-25,3.0,4,4,18.0,4.5
2023-01-26,4.0,6,6,58.5,9.75
2023-01-27,5.0,5,5,40.5,8.1
2023-01-28,6.0,18,17,180.0,10.0
2023-01-29,0.0,15,10,138.0,9.2
2023-01-30,1.0,9,8,83.5,9.28
2023-01-31,2.0,8,6,41.5,5.19
2023-02-01,3.0,11,10,153.0,13.91
2023-02-02,4.0,18,16,180.5,10.03
2023-02-03,5.0,13,13,124.5,9.58
2023-02-04,6.0,15,14,174.0,11.6
2023-02-05,0.0,11,8,110.5,10.05
2023-02-06,1.0,10,8,46.0,4.6
2023-02-07,2.0,8,8,92.0,11.5
2023-02-08,3.0,9,9,73.5,8.17
2023-02-09,4.0,9,9,53.0,5.89
2023-02-10,5.0,6,6,28.5,4.75
2023-02-11,6.0,13,12,101.5,7.81
2023-02-12,0.0,13,12,95.0,7.31
2023-02-13,1.0,9,9,88.5,9.83
2023-02-14,2.0,14,13,153.5,10.96
2023-02-15,3.0,5,5,51.0,10.2
2023-02-16,4.0,11,10,86.0,7.82
2023-02-17,5.0,10,9,81.5,8.15
2023-02-18,6.0,15,14,139.5,9.3
2023-02-19,0.0,16,14,167.5,10.47
2023-02-20,1.0,8,7,51.5,6.44
2023-02-21,2.0,7,7,45.5,6.5
2023-02-22,3.0,7,7,37.5,5.36
2023-02-23,4.0,10,10,135.0,13.5
2023-02-24,5.0,11,10,54.5,4.95
2023-02-25,6.0,25,20,190.0,7.6
2023-02-26,0.0,17,16,154.0,9.06
2023-02-27,1.0,10,10,57.0,5.7
2023-02-28,2.0,6,6,75.0,12.5
2023-03-01,3.0,10,9,63.0,6.3
2023-03-02,4.0,11,11,65.5,5.95
2023-03-03,5.0,12,10,63.0,5.25
2023-03-04,6.0,15,13,134.0,8.93
2023-03-05,0.0,15,15,108.0,7.2
2023-03-06,1.0,10,8,124.0,12.4
2023-03-07,2.0,11,10,102.5,9.32
2023-03-08,3.0,17,15,144.0,8.47
2023-03-09,4.0,10,9,34.0,3.4
2023-03-10,5.0,15,15,117.5,7.83
2023-03-11,6.0,17,14,117.0,6.88
2023-03-12,0.0,21,19,188.5,8.98
2023-03-13,1.0,5,5,43.0,8.6
2023-03-14,2.0,9,8,73.5,8.17
2023-03-15,3.0,11,9,54.0,4.91
2023-03-16,4.0,7,6,49.5,7.07
2023-03-17,5.0,12,10,76.0,6.33
2023-03-18,6.0,20,17,124.5,6.23
2023-03-19,0.0,11,10,79.5,7.23
2023-03-20,1.0,10,9,61.5,6.15
2023-03-21,2.0,12,12,138.0,11.5
2023-03-22,3.0,11,10,135.0,12.27
2023-03-23,4.0,14,13,130.5,9.32
2023-03-24,5.0,14,14,117.0,8.36
2023-03-25,6.0,21,18,195.5,9.31
2023-03-26,0.0,16,11,137.0,8.56
2023-03-27,1.0,12,12,117.5,9.79
2023-03-28,2.0,9,9,113.0,12.56
2023-03-29,3.0,10,10,75.5,7.55
2023-03-30,4.0,9,8,74.5,8.28
2023-03-31,5.0,9,7,57.5,6.39
2023-04-01,6.0,24,20,267.0,11.13
2023-04-02,0.0,18,14,92.0,5.11
2023-04-03,1.0,13,11,125.0,9.62
2023-04-04,2.0,13,12,100.0,7.69
2023-04-05,3.0,14,13,119.5,8.54
2023-04-06,4.0,10,10,62.0,6.2
2023-04-07,5.0,22,17,227.5,10.34
2023-04-08,6.0,29,25,196.5,6.78
2023-04-09,0.0,26,24,181.5,6.98
2023-04-10,1.0,14,14,116.5,8.32
2023-04-11,2.0,10,10,66.5,6.65
2023-04-12,3.0,19,17,230.5,12.13
2023-04-13,4.0,16,14,80.0,5.0
2023-04-14,5.0,13,13,70.5,5.42
2023-04-15,6.0,19,17,151.5,7.97
2023-04-16,0.0,19,16,204.5,10.76
2023-04-17,1.0,18,17,164.5,9.14
2023-04-18,2.0,13,13,165.5,12.73
2023-04-19,3.0,10,9,98.5,9.85
2023-04-20,4.0,16,14,146.0,9.13
2023-04-21,5.0,14,13,69.0,4.93
2023-04-22,6.0,17,15,142.0,8.35
2023-04-23,0.0,15,13,71.5,4.77
2023-04-24,1.0,11,9,73.0,6.64
2023-04-25,2.0,7,6,70.0,10.0
2023-04-26,3.0,10,10,52.5,5.25
2023-04-27,4.0,16,14,137.5,8.59
2023-04-28,5.0,5,5,42.0,8.4
2023-04-29,6.0,21,20,246.0,11.71
2023-04-30,0.0,15,14,125.0,8.33
2023-05-01,1.0,15,13,210.5,14.03
2023-05-02,2.0,15,14,199.0,13.27
2023-05-03,3.0,21,20,172.0,8.19
2023-05-04,4.0,23,20,181.5,7.89
2023-05-05,5.0,14,12,130.5,9.32
2023-05-06,6.0,23,18,191.5,8.33
2023-05-07,0.0,15,14,147.0,9.8
2023-05-08,1.0,21,19,244.5,11.64
2023-05-09,2.0,12,11,61.0,5.08
2023-05-10,3.0,18,14,160.5,8.92
2023-05-11,4.0,14,13,182.0,13.0
2023-05-12,5.0,14,14,120.5,8.61
2023-05-13,6.0,28,23,260.5,9.3
2023-05-14,0.0,27,24,216.5,8.02
2023-05-15,1.0,12,12,95.0,7.92
2023-05-16,2.0,21,17,140.0,6.67
2023-05-17,3.0,11,11,71.5,6.5
2023-05-18,4.0,17,17,147.0,8.65
2023-05-19,5.0,12,12,105.0,8.75
2023-05-20,6.0,18,17,155.5,8.64
2023-05-21,0.0,17,17,171.5,10.09
2023-05-22,1.0,14,11,121.0,8.64
2023-05-23,2.0,11,10,102.5,9.32
2023-05-24,3.0,14,12,118.0,8.43
2023-05-25,4.0,9,9,73.0,8.11
2023-05-26,5.0,13,13,110.0,8.46
2023-05-27,6.0,29,23,341.5,11.78
2023-05-28,0.0,25,23,233.5,9.34
2023-05-29,1.0,18,17,144.0,8.0
2023-05-30,2.0,17,14,117.0,6.88
2023-05-31,3.0,13,12,129.5,9.96
2023-06-01,4.0,14,14,212.0,15.14
2023-06-02,5.0,13,13,62.5,4.81
2023-06-03,6.0,22,18,153.0,6.95
2023-06-04,0.0,18,16,128.0,7.11
2023-06-05,1.0,13,12,192.5,14.81
2023-06-06,2.0,15,15,81.0,5.4
2023-06-07,3.0,15,12,108.0,7.2
2023-06-08,4.0,22,18,177.0,8.05
2023-06-09,5.0,14,12,105.0,7.5
2023-06-10,6.0,29,22,151.5,5.22
2023-06-11,0.0,18,14,209.5,11.64
2023-06-12,1.0,14,13,33.5,2.39
2023-06-13,2.0,9,9,86.5,9.61
2023-06-14,3.0,17,15,105.0,6.18
2023-06-15,4.0,13,13,49.0,3.77
2023-06-16,5.0,11,10,81.5,7.41
2023-06-17,6.0,24,23,190.5,7.94
2023-06-18,0.0,19,17,191.5,10.08
2023-06-19,1.0,13,11,64.0,4.92
2023-06-20,2.0,14,11,45.0,3.21
2023-06-21,3.0,21,20,189.5,9.02
2023-06-22,4.0,7,7,45.0,6.43
2023-06-23,5.0,12,11,125.0,10.42
2023-06-24,6.0,18,16,92.0,5.11
2023-06-25,0.0,27,21,277.5,10.28
2023-06-26,1.0,15,12,184.5,12.3
2023-06-27,2.0,12,12,116.5,9.71
2023-06-28,3.0,15,13,138.5,9.23
2023-06-29,4.0,10,9,89.5,8.95
2023-06-30,5.0,15,14,132.0,8.8
2023-07-01,6.0,24,22,165.5,6.9
2023-07-02,0.0,16,15,169.0,10.56
2023-07-03,1.0,7,7,27.0,3.86
2023-07-04,2.0,13,13,189.0,14.54
2023-07-05,3.0,16,14,73.5,4.59
2023-07-06,4.0,20,18,226.5,11.33
2023-07-07,5.0,9,9,142.0,15.78
2023-07-08,6.0,18,16,204.5,11.36
2023-07-09,0.0,21,18,172.0,8.19
2023-07-10,1.0,10,9,42.0,4.2
2023-07-11,2.0,13,13,101.0,7.77
2023-07-12,3.0,7,7,126.0,18.0
2023-07-13,4.0,17,17,153.0,9.0
2023-07-14,5.0,16,15,147.5,9.22
2023-07-15,6.0,21,19,136.5,6.5
2023-07-16,0.0,18,16,158.5,8.81
2023-07-17,1.0,11,11,102.0,9.27
2023-07-18,2.0,14,13,129.5,9.25
2023-07-19,3.0,14,14,73.0,5.21
2023-07-20,4.0,17,16,131.0,7.71
2023-07-21,5.0,12,11,119.0,9.92
2023-07-22,6.0,16,15,99.5,6.22
2023-07-23,0.0,21,18,215.5,10.26
2023-07-24,1.0,17,16,151.0,8.88
2023-07-25,2.0,13,13,207.0,15.92
2023-07-26,3.0,8,8,125.0,15.63
2023-07-27,4.0,14,13,123.0,8.79
2023-07-28,5.0,14,14,71.0,5.07
2023-07-29,6.0,26,23,192.0,7.38
2023-07-30,0.0,20,18,100.5,5.03
2023-07-31,1.0,14,12,141.0,10.07
2023-08-01,2.0,10,10,39.0,3.9
2023-08-02,3.0,11,11,31.0,2.82
2023-08-03,4.0,14,14,125.0,8.93
2023-08-04,5.0,17,15,198.5,11.68
2023-08-05,6.0,24,22,201.0,8.38
2023-08-06,0.0,29,26,303.0,10.45
2023-08-07,1.0,19,19,157.0,8.26
2023-08-08,2.0,5,5,49.0,9.8
2023-08-09,3.0,15,15,85.0,5.67
2023-08-10,4.0,9,8,78.5,8.72
2023-08-11,5.0,12,11,53.5,4.46
2023-08-12,6.0,29,25,222.5,7.67
2023-08-13,0.0,8,8,40.0,5.0
2023-08-14,1.0,20,16,108.0,5.4
2023-08-15,2.0,18,18,154.5,8.58
2023-08-16,3.0,13,12,64.0,4.92
2023-08-17,4.0,10,9,93.0,9.3
2023-08-18,5.0,15,14,66.5,4.43
2023-08-19,6.0,27,22,223.0,8.26
2023-08-20,0.0,20,18,157.5,7.88
2023-08-21,1.0,17,15,154.0,9.06
2023-08-22,2.0,17,16,78.5,4.62
2023-08-23,3.0,19,14,186.0,9.79
2023-08-24,4.0,19,18,179.5,9.45
2023-08-25,5.0,12,12,61.5,5.13
2023-08-26,6.0,27,22,186.0,6.89
2023-08-27,0.0,19,16,179.5,9.45
2023-08-28,1.0,18,17,137.5,7.64
2023-08-29,2.0,14,14,145.0,10.36
2023-08-30,3.0,18,15,192.0,10.67
2023-08-31,4.0,14,13,118.0,8.43
2023-09-01,5.0,17,15,105.0,6.18
2023-09-02,6.0,21,19,229.0,10.9
2023-09-03,0.0,22,19,171.0,7.77
2023-09-04,1.0,22,20,243.5,11.07
2023-09-05,2.0,18,17,163.5,9.08
2023-09-06,3.0,22,18,200.0,9.09
2023-09-07,4.0,22,17,196.5,8.93
2023-09-08,5.0,18,15,90.0,5.0
2023-09-09,6.0,31,23,238.5,7.69
2023-09-10,0.0,25,24,203.0,8.12
2023-09-11,1.0,9,8,32.5,3.61
2023-09-12,2.0,23,19,162.0,7.04
2023-09-13,3.0,17,15,80.0,4.71
2023-09-14,4.0,16,14,161.5,10.09
2023-09-15,5.0,20,19,167.5,8.38
2023-09-16,6.0,30,24,194.0,6.47
2023-09-17,0.0,26,24,223.5,8.6
2023-09-18,1.0,12,11,148.5,12.38
2023-09-19,2.0,20,18,269.5,13.48
2023-09-20,3.0,15,15,80.0,5.33
2023-09-21,4.0,19,19,220.5,11.61
2023-09-22,5.0,16,15,109.5,6.84
2023-09-23,6.0,21,20,152.5,7.26
2023-09-24,0.0,25,23,192.0,7.68
2023-09-25,1.0,12,12,124.0,10.33
2023-09-26,2.0,16,16,181.0,11.31
2023-09-27,3.0,18,17,173.0,9.61
2023-09-28,4.0,20,19,137.5,6.88
2023-09-29,5.0,15,14,141.0,9.4
2023-09-30,6.0,30,23,187.5,6.25
2023-10-01,0.0,26,24,264.5,10.17
2023-10-02,1.0,28,26,218.0,7.79
2023-10-03,2.0,20,20,236.5,11.83
2023-10-04,3.0,18,18,283.5,15.75
2023-10-05,4.0,15,13,219.0,14.6
2023-10-06,5.0,17,17,176.0,10.35
2023-10-07,6.0,28,25,196.5,7.02
2023-10-08,0.0,38,35,335.5,8.83
2023-10-09,1.0,17,15,123.0,7.24
2023-10-10,2.0,14,12,150.0,10.71
2023-10-11,3.0,14,11,138.0,9.86
2023-10-12,4.0,14,13,122.5,8.75
2023-10-13,5.0,13,13,160.0,12.31
2023-10-14,6.0,19,18,182.0,9.58
2023-10-15,0.0,20,15,140.0,7.0
2023-10-16,1.0,14,13,108.5,7.75
2023-10-17,2.0,16,14,112.5,7.03
2023-10-18,3.0,16,15,113.5,7.09
2023-10-19,4.0,24,23,227.5,9.48
2023-10-20,5.0,22,18,169.5,7.7
2023-10-21,6.0,26,21,141.5,5.44
2023-10-22,0.0,19,19,147.5,7.76
2023-10-23,1.0,15,14,152.0,10.13
2023-10-24,2.0,22,22,86.5,3.93
2023-10-25,3.0,18,18,120.0,6.67
2023-10-26,4.0,21,20,155.0,7.38
2023-10-27,5.0,21,19,167.0,7.95
2023-10-28,6.0,24,21,126.0,5.25
2023-10-29,0.0,15,15,139.5,9.3
2023-10-30,1.0,17,16,157.0,9.24
2023-10-31,2.0,23,21,126.5,5.5
2023-11-01,3.0,23,21,174.5,7.59
2023-11-02,4.0,25,22,175.0,7.0
2023-11-03,5.0,20,20,136.5,6.83
2023-11-04,6.0,27,24,214.0,7.93
2023-11-05,0.0,32,26,223.5,6.98
2023-11-06,1.0,18,15,108.5,6.03
2023-11-07,2.0,16,15,139.0,8.69
2023-11-08,3.0,14,13,123.0,8.79
2023-11-09,4.0,19,17,143.0,7.53
2023-11-10,5.0,17,16,109.5,6.44
2023-11-11,6.0,17,15,111.5,6.56
2023-11-12,0.0,17,17,165.0,9.71
2023-11-13,1.0,15,15,115.0,7.67
2023-11-14,2.0,15,15,83.5,5.57
2023-11-15,3.0,18,17,156.5,8.69
2023-11-16,4.0,15,14,135.0,9.0
2023-11-17,5.0,20,19,139.5,6.98
2023-11-18,6.0,25,24,229.0,9.16
2023-11-19,0.0,23,19,194.5,8.46
2023-11-20,1.0,16,15,82.5,5.16
2023-11-21,2.0,12,11,69.5,5.79
2023-11-22,3.0,12,11,120.0,10.0
2023-11-23,4.0,21,20,212.5,10.12
2023-11-24,5.0,18,18,84.5,4.69
2023-11-25,6.0,36,30,401.5,11.15
2023-11-26,0.0,23,21,164.5,7.15
2023-11-27,1.0,18,16,87.0,4.83
2023-11-28,2.0,18,18,128.5,7.14
2023-11-29,3.0,21,21,146.5,6.98
2023-11-30,4.0,15,15,263.0,17.53
2023-12-01,5.0,22,20,150.5,6.84
2023-12-02,6.0,31,29,246.5,7.95
2023-12-03,0.0,20,19,100.0,5.0
2023-12-04,1.0,15,14,103.0,6.87
2023-12-05,2.0,13,11,102.5,7.88
2023-12-06,3.0,24,22,156.0,6.5
2023-12-07,4.0,29,29,244.0,8.41
2023-12-08,5.0,24,19,149.5,6.23
2023-12-09,6.0,45,37,310.0,6.89
2023-12-10,0.0,24,20,217.5,9.06
2023-12-11,1.0,18,17,93.0,5.17
2023-12-12,2.0,19,18,108.5,5.71
2023-12-13,3.0,16,15,174.5,10.91
2023-12-14,4.0,16,15,119.0,7.44
2023-12-15,5.0,21,19,151.5,7.21
2023-12-16,6.0,40,35,315.0,7.88
2023-12-17,0.0,27,22,240.0,8.89
2023-12-18,1.0,20,18,190.0,9.5
2023-12-19,2.0,23,19,163.5,7.11
2023-12-20,3.0,22,22,137.5,6.25
2023-12-21,4.0,22,21,162.0,7.36
2023-12-22,5.0,25,21,180.5,7.22
2023-12-23,6.0,25,22,136.0,5.44
2023-12-24,0.0,35,32,259.0,7.4
2023-12-26,2.0,18,16,159.5,8.86
2023-12-27,3.0,14,14,134.5,9.61
2023-12-28,4.0,9,9,63.5,7.06
2023-12-29,5.0,22,20,156.5,7.11
2023-12-30,6.0,42,39,373.5,8.89
2023-12-31,0.0,23,22,215.5,9.37
2024-01-02,2.0,18,16,127.5,7.08
2024-01-03,3.0,14,14,131.5,9.39
2024-01-04,4.0,16,15,182.5,11.41
2024-01-05,5.0,13,12,90.0,6.92
2024-01-06,6.0,19,18,174.0,9.16
2024-01-07,0.0,14,14,123.0,8.79
2024-01-08,1.0,15,14,94.5,6.3
2024-01-09,2.0,19,19,241.0,12.68
2024-01-10,3.0,12,10,73.0,6.08
2024-01-11,4.0,15,15,112.0,7.47
2024-01-12,5.0,9,9,91.0,10.11
2024-01-13,6.0,35,31,260.0,7.43
2024-01-14,0.0,25,23,265.5,10.62
2024-01-15,1.0,8,8,25.0,3.13
2024-01-16,2.0,12,12,92.5,7.71
2024-01-17,3.0,13,11,93.0,7.15
2024-01-18,4.0,7,6,33.0,4.71
2024-01-19,5.0,14,14,122.5,8.75
2024-01-20,6.0,20,19,93.0,4.65
2024-01-21,0.0,15,14,144.0,9.6
2024-01-22,1.0,9,9,33.5,3.72
2024-01-23,2.0,16,15,86.0,5.38
2024-01-24,3.0,16,13,143.0,8.94
2024-01-25,4.0,13,13,128.5,9.88
2024-01-26,5.0,12,12,166.0,13.83
2024-01-27,6.0,24,22,142.0,5.92
2024-01-28,0.0,19,18,180.5,9.5
2024-01-29,1.0,16,15,88.5,5.53
2024-01-30,2.0,10,10,94.0,9.4
2024-01-31,3.0,12,10,98.5,8.21
2024-02-01,4.0,21,19,183.0,8.71
2024-02-02,5.0,16,15,137.0,8.56
2024-02-03,6.0,21,19,182.5,8.69
2024-02-04,0.0,21,20,219.0,10.43
2024-02-05,1.0,21,19,267.0,12.71
2024-02-06,2.0,17,15,169.0,9.94
2024-02-07,3.0,11,11,58.5,5.32
2024-02-08,4.0,15,14,187.0,12.47
2024-02-09,5.0,11,9,68.0,6.18
2024-02-10,6.0,22,19,165.0,7.5
2024-02-11,0.0,19,17,109.0,5.74
2024-02-12,1.0,21,19,157.0,7.48
2024-02-13,2.0,16,15,131.5,8.22
