event_id,event_name,event_type,event_date,start_time,end_time,expected_attendance,actual_attendance,marketing_spend,revenue_impact,notes
120,Special Waffle Menu,Waffle Weekend,2024-11-30,08:00:00,14:00:00,21,23,38.44,,
121,Cat-Themed Trivia,Trivia Night,2024-12-05,18:00:00,20:00:00,20,9,24.77,,
122,Cat Yoga Session,Cat Yoga,2024-12-14,09:00:00,10:30:00,12,11,35.6,,
123,Holiday Cat-a-Palooza,Holiday Special,2024-12-20,10:00:00,17:00:00,47,42,69.38,,
124,Quarterly Adoption Event,Adoption Drive,2024-12-21,10:00:00,16:00:00,47,32,178.71,,
125,Holiday Cat-a-Palooza,Holiday Special,2024-12-21,10:00:00,17:00:00,44,36,114.22,,
126,Holiday Cat-a-Palooza,Holiday Special,2024-12-22,10:00:00,17:00:00,44,40,111.86,,
127,Holiday Cat-a-Palooza,Holiday Special,2024-12-23,10:00:00,17:00:00,30,28,137.59,,
128,Special Waffle Menu,Waffle Weekend,2024-12-28,08:00:00,14:00:00,28,24,94.92,,
129,Cat-Themed Trivia,Trivia Night,2025-01-02,18:00:00,20:00:00,30,30,23.59,,
130,Cat Yoga Session,Cat Yoga,2025-01-11,09:00:00,10:30:00,12,11,55.9,,
131,Family Cat Fun Day,Kids Day,2025-01-12,10:00:00,14:00:00,16,14,61.42,,
132,Special Waffle Menu,Waffle Weekend,2025-01-25,08:00:00,14:00:00,34,29,84.75,,
