order_id,customer_id,visit_id,staff_id,order_datetime,subtotal,tax,total,payment_method
105,4,223,10,2022-06-28 16:59:00,6.56,0.39,6.95,credit
106,1,224,5,2022-06-28 11:51:00,4.5,0.27,4.77,credit
107,5,225,11,2022-06-28 12:59:00,3.5,0.21,3.71,credit
108,1,226,7,2022-06-28 12:45:00,4.0,0.24,4.24,credit
109,1,227,12,2022-06-28 10:17:00,6.0,0.36,6.36,credit
110,4,228,2,2022-06-28 16:59:00,13.06,0.78,13.84,debit
111,1,229,7,2022-06-29 14:41:00,7.0,0.42,7.42,credit
112,6,230,1,2022-06-29 12:14:00,4.0,0.24,4.24,credit
113,5,231,2,2022-06-29 14:44:00,25.5,1.53,27.03,credit
114,3,232,14,2022-06-29 12:21:00,3.5,0.21,3.71,credit
115,2,233,6,2022-06-29 11:59:00,26.25,1.57,27.82,debit
116,1,235,7,2022-06-30 12:59:00,8.0,0.48,8.48,credit
117,1,237,11,2022-06-30 10:57:00,5.5,0.33,5.83,mobile
118,4,238,13,2022-06-30 09:42:00,8.06,0.48,8.54,credit
119,2,240,10,2022-06-30 11:32:00,10.25,0.61,10.86,credit
120,5,241,14,2022-06-30 12:53:00,22.0,1.32,23.32,mobile
121,4,242,2,2022-07-01 10:48:00,8.06,0.48,8.54,mobile
122,12,244,5,2022-07-01 15:42:00,4.5,0.27,4.77,credit
123,2,246,14,2022-07-01 12:30:00,34.75,2.08,36.83,credit
124,2,247,7,2022-07-01 12:19:00,5.75,0.34,6.09,credit
125,4,251,13,2022-07-02 12:54:00,9.06,0.54,9.6,credit
126,8,252,4,2022-07-02 16:59:00,10.97,0.66,11.63,debit
127,8,254,1,2022-07-02 11:19:00,29.97,1.8,31.77,credit
128,1,255,11,2022-07-02 16:56:00,4.5,0.27,4.77,credit
129,4,256,11,2022-07-02 13:58:00,6.56,0.39,6.95,mobile
130,8,257,6,2022-07-02 10:40:00,15.97,0.96,16.93,mobile
131,2,258,13,2022-07-02 13:41:00,9.25,0.55,9.8,mobile
132,12,259,4,2022-07-02 14:20:00,6.0,0.36,6.36,credit
133,2,260,5,2022-07-03 16:37:00,24.25,1.45,25.7,credit
134,1,261,4,2022-07-03 14:40:00,3.5,0.21,3.71,mobile
135,1,263,10,2022-07-03 10:27:00,16.0,0.96,16.96,credit
136,18,264,12,2022-07-03 14:55:00,10.27,0.62,10.89,credit
137,3,265,2,2022-07-03 10:56:00,3.5,0.21,3.71,credit
138,8,266,2,2022-07-03 10:59:00,17.47,1.05,18.52,credit
139,2,268,7,2022-07-03 11:43:00,9.25,0.55,9.8,credit
140,4,271,13,2022-07-03 14:59:00,10.56,0.63,11.19,credit
141,11,272,7,2022-07-04 16:22:00,28.5,1.71,30.21,credit
142,2,273,5,2022-07-04 16:41:00,15.25,0.91,16.16,credit
143,1,274,6,2022-07-04 14:30:00,8.0,0.48,8.48,mobile
144,9,275,4,2022-07-04 09:29:00,6.0,0.36,6.36,credit
145,2,276,7,2022-07-04 11:59:00,34.75,2.08,36.83,credit
146,3,278,13,2022-07-04 13:58:00,18.0,1.08,19.08,mobile
147,1,279,11,2022-07-04 12:59:00,11.5,0.69,12.19,mobile
148,7,280,13,2022-07-04 12:56:00,8.0,0.48,8.48,credit
149,1,281,14,2022-07-05 09:25:00,23.0,1.38,24.38,debit
150,8,282,12,2022-07-05 10:29:00,8.97,0.54,9.51,credit
151,5,283,4,2022-07-05 10:50:00,5.5,0.33,5.83,mobile
152,4,284,4,2022-07-05 11:30:00,16.06,0.96,17.02,mobile
153,1,285,5,2022-07-05 14:39:00,14.0,0.84,14.84,credit
154,3,286,11,2022-07-06 13:59:00,9.0,0.54,9.54,credit
155,3,287,2,2022-07-06 10:34:00,10.0,0.6,10.6,debit
156,1,288,6,2022-07-06 12:59:00,6.0,0.36,6.36,mobile
157,2,289,12,2022-07-06 13:59:00,4.75,0.28,5.03,mobile
158,6,291,11,2022-07-07 11:46:00,16.0,0.96,16.96,mobile
159,10,293,5,2022-07-07 12:42:00,20.85,1.25,22.1,debit
160,4,294,14,2022-07-07 09:40:00,12.56,0.75,13.31,debit
161,7,295,12,2022-07-07 10:19:00,5.5,0.33,5.83,mobile
162,3,296,2,2022-07-07 14:26:00,44.5,2.67,47.17,credit
163,2,297,11,2022-07-07 14:59:00,22.25,1.33,23.58,credit
164,1,298,2,2022-07-07 10:59:00,4.0,0.24,4.24,credit
165,3,299,5,2022-07-08 14:43:00,12.0,0.72,12.72,credit
166,11,300,7,2022-07-08 12:59:00,8.5,0.51,9.01,mobile
167,19,302,13,2022-07-08 11:37:00,13.5,0.81,14.31,mobile
168,2,303,1,2022-07-08 09:55:00,5.75,0.34,6.09,debit
169,4,304,6,2022-07-08 11:26:00,5.56,0.33,5.89,mobile
170,4,305,12,2022-07-08 10:22:00,6.06,0.36,6.42,credit
171,5,307,10,2022-07-09 10:35:00,16.0,0.96,16.96,credit
172,17,309,12,2022-07-09 12:40:00,11.0,0.66,11.66,credit
173,14,310,10,2022-07-09 09:45:00,10.83,0.65,11.48,mobile
174,4,313,2,2022-07-09 10:44:00,12.56,0.75,13.31,credit
175,9,314,13,2022-07-09 13:30:00,33.5,2.01,35.51,mobile
176,2,315,6,2022-07-09 09:31:00,40.75,2.44,43.19,credit
177,8,317,7,2022-07-09 11:12:00,5.47,0.33,5.8,credit
178,5,319,10,2022-07-10 14:50:00,4.0,0.24,4.24,mobile
179,196,320,13,2022-07-10 11:10:00,24.5,1.47,25.97,credit
180,11,322,2,2022-07-10 14:29:00,18.0,1.08,19.08,credit
181,2,323,1,2022-07-10 10:32:00,6.75,0.4,7.15,credit
182,10,324,10,2022-07-10 16:59:00,9.85,0.59,10.44,credit
183,8,326,6,2022-07-10 13:56:00,9.97,0.6,10.57,mobile
184,3,327,3,2022-07-10 09:59:00,5.0,0.3,5.3,mobile
185,5,328,4,2022-07-10 13:57:00,3.5,0.21,3.71,credit
186,13,330,10,2022-07-10 15:59:00,7.5,0.45,7.95,credit
187,8,334,2,2022-07-11 13:58:00,23.47,1.41,24.88,credit
188,5,336,13,2022-07-11 16:54:00,8.0,0.48,8.48,credit
189,1,339,2,2022-07-12 12:27:00,10.0,0.6,10.6,credit
190,3,340,3,2022-07-12 14:59:00,7.0,0.42,7.42,mobile
191,7,341,12,2022-07-12 15:59:00,10.0,0.6,10.6,credit
192,2,344,2,2022-07-13 15:11:00,9.25,0.55,9.8,mobile
193,4,345,10,2022-07-13 12:59:00,13.56,0.81,14.37,debit
194,13,346,1,2022-07-13 10:57:00,20.5,1.23,21.73,credit
195,2,347,11,2022-07-13 10:28:00,15.75,0.94,16.69,credit
196,16,348,4,2022-07-13 16:59:00,3.0,0.18,3.18,credit
197,10,350,12,2022-07-13 15:59:00,35.35,2.12,37.47,credit
198,3,351,14,2022-07-13 14:16:00,5.5,0.33,5.83,mobile
199,3,354,1,2022-07-14 10:59:00,5.5,0.33,5.83,credit
200,7,356,14,2022-07-14 15:25:00,5.0,0.3,5.3,mobile
201,4,357,4,2022-07-14 12:23:00,6.56,0.39,6.95,mobile
202,5,358,10,2022-07-14 10:59:00,5.5,0.33,5.83,credit
203,3,361,2,2022-07-15 16:11:00,3.5,0.21,3.71,mobile
204,7,362,7,2022-07-15 14:16:00,6.0,0.36,6.36,credit
205,3,364,7,2022-07-15 12:27:00,4.0,0.24,4.24,credit
206,4,365,3,2022-07-15 13:18:00,7.06,0.42,7.48,credit
207,1,369,13,2022-07-16 14:59:00,13.0,0.78,13.78,mobile
208,2,370,10,2022-07-16 16:42:00,25.25,1.51,26.76,mobile
209,6,372,14,2022-07-16 13:20:00,3.5,0.21,3.71,debit
210,4,373,11,2022-07-16 11:39:00,21.06,1.26,22.32,mobile
211,196,374,6,2022-07-16 09:43:00,5.0,0.3,5.3,debit
212,5,375,5,2022-07-16 11:58:00,18.0,1.08,19.08,credit
213,2,376,2,2022-07-16 11:48:00,6.75,0.4,7.15,credit
214,11,377,11,2022-07-16 11:47:00,4.0,0.24,4.24,credit
215,1,379,5,2022-07-17 14:59:00,27.5,1.65,29.15,debit
216,4,380,4,2022-07-17 14:59:00,14.06,0.84,14.9,credit
217,1,382,1,2022-07-17 09:36:00,6.0,0.36,6.36,credit
218,5,383,10,2022-07-17 16:42:00,8.0,0.48,8.48,mobile
219,14,386,12,2022-07-17 10:55:00,42.83,2.57,45.4,credit
220,13,388,11,2022-07-17 11:59:00,12.5,0.75,13.25,credit
221,2,389,13,2022-07-17 16:54:00,56.25,3.38,59.63,debit
222,2,391,13,2022-07-18 12:59:00,6.25,0.38,6.63,credit
223,3,393,1,2022-07-18 14:45:00,7.0,0.42,7.42,credit
224,11,397,7,2022-07-18 16:38:00,3.0,0.18,3.18,credit
225,4,398,2,2022-07-18 10:32:00,14.56,0.87,15.43,mobile
226,9,401,10,2022-07-19 15:58:00,4.0,0.24,4.24,credit
227,10,407,1,2022-07-20 12:59:00,18.35,1.1,19.45,mobile
228,7,408,10,2022-07-20 11:14:00,5.5,0.33,5.83,mobile
229,1,410,5,2022-07-20 15:42:00,7.5,0.45,7.95,mobile
230,2,411,13,2022-07-20 09:59:00,12.25,0.73,12.98,credit
231,2,412,4,2022-07-20 11:59:00,58.25,3.49,61.74,debit
232,1,417,14,2022-07-21 14:45:00,10.0,0.6,10.6,credit
233,7,419,2,2022-07-22 14:40:00,3.0,0.18,3.18,mobile
234,2,420,11,2022-07-22 09:41:00,10.75,0.65,11.4,debit
235,5,421,3,2022-07-22 16:41:00,25.0,1.5,26.5,credit
236,5,422,13,2022-07-22 16:37:00,9.5,0.57,10.07,mobile
237,8,423,5,2022-07-22 12:59:00,4.97,0.3,5.27,mobile
238,1,424,3,2022-07-22 14:12:00,6.0,0.36,6.36,mobile
239,4,427,3,2022-07-23 15:59:00,19.06,1.14,20.2,mobile
240,5,428,4,2022-07-23 16:39:00,10.0,0.6,10.6,credit
241,1,429,2,2022-07-23 09:27:00,48.5,2.91,51.41,credit
242,4,432,12,2022-07-23 09:31:00,5.56,0.33,5.89,debit
243,103,433,1,2022-07-23 13:17:00,5.94,0.36,6.3,debit
244,15,436,2,2022-07-24 10:42:00,12.5,0.75,13.25,credit
245,5,437,7,2022-07-24 12:59:00,9.5,0.57,10.07,credit
246,2,438,14,2022-07-24 13:45:00,22.75,1.36,24.11,credit
247,3,440,2,2022-07-24 14:13:00,14.5,0.87,15.37,credit
248,8,441,6,2022-07-24 14:59:00,15.97,0.96,16.93,mobile
249,1,443,3,2022-07-24 10:30:00,15.0,0.9,15.9,credit
250,7,444,3,2022-07-25 10:58:00,13.5,0.81,14.31,mobile
251,11,445,7,2022-07-25 11:59:00,8.5,0.51,9.01,credit
252,8,446,10,2022-07-25 12:25:00,4.47,0.27,4.74,mobile
253,1,448,7,2022-07-25 10:42:00,8.0,0.48,8.48,credit
254,103,449,2,2022-07-26 10:58:00,5.94,0.36,6.3,credit
255,15,450,1,2022-07-26 12:17:00,22.0,1.32,23.32,credit
256,13,451,7,2022-07-26 10:59:00,23.0,1.38,24.38,credit
257,103,452,3,2022-07-26 10:45:00,10.94,0.66,11.6,credit
258,2,453,5,2022-07-26 16:58:00,11.25,0.67,11.92,debit
259,3,454,7,2022-07-26 15:20:00,15.0,0.9,15.9,mobile
260,103,455,14,2022-07-27 13:32:00,13.44,0.81,14.25,credit
261,2,456,13,2022-07-27 09:45:00,7.25,0.43,7.68,credit
262,1,457,13,2022-07-27 09:26:00,4.5,0.27,4.77,debit
263,4,461,2,2022-07-28 16:59:00,5.56,0.33,5.89,credit
264,4,462,10,2022-07-28 09:59:00,6.56,0.39,6.95,mobile
265,4,464,13,2022-07-28 12:59:00,9.06,0.54,9.6,mobile
266,5,465,3,2022-07-28 16:17:00,11.0,0.66,11.66,debit
267,5,466,14,2022-07-28 14:21:00,4.0,0.24,4.24,mobile
268,13,467,12,2022-07-28 15:53:00,4.0,0.24,4.24,credit
269,196,469,1,2022-07-28 13:22:00,4.0,0.24,4.24,mobile
270,4,470,12,2022-07-28 09:59:00,4.56,0.27,4.83,mobile
271,103,471,10,2022-07-28 12:11:00,7.44,0.45,7.89,mobile
272,3,472,4,2022-07-28 14:54:00,19.0,1.14,20.14,mobile
273,5,474,13,2022-07-29 09:59:00,16.0,0.96,16.96,credit
274,9,475,13,2022-07-29 16:39:00,5.5,0.33,5.83,credit
275,12,476,11,2022-07-29 14:41:00,19.0,1.14,20.14,credit
276,13,479,10,2022-07-29 12:43:00,8.0,0.48,8.48,mobile
277,103,480,14,2022-07-29 15:41:00,8.44,0.51,8.95,credit
278,8,483,14,2022-07-30 16:42:00,6.47,0.39,6.86,debit
279,15,484,10,2022-07-30 15:59:00,16.0,0.96,16.96,debit
280,8,485,10,2022-07-30 13:29:00,5.97,0.36,6.33,credit
281,9,488,1,2022-07-30 09:29:00,4.0,0.24,4.24,mobile
282,1,489,7,2022-07-31 16:38:00,13.5,0.81,14.31,credit
283,2,490,2,2022-07-31 14:26:00,5.75,0.34,6.09,mobile
284,2,491,2,2022-07-31 14:16:00,17.25,1.03,18.28,credit
285,6,493,10,2022-08-01 10:14:00,8.0,0.48,8.48,debit
286,11,494,14,2022-08-01 09:17:00,8.0,0.48,8.48,credit
287,103,495,7,2022-08-01 12:59:00,15.94,0.96,16.9,debit
288,67,497,13,2022-08-01 15:59:00,7.0,0.42,7.42,mobile
289,8,499,12,2022-08-01 15:59:00,8.97,0.54,9.51,credit
290,10,500,7,2022-08-01 13:28:00,8.85,0.53,9.38,credit
291,2,501,11,2022-08-02 15:17:00,5.25,0.32,5.57,mobile
292,3,503,5,2022-08-02 15:26:00,7.0,0.42,7.42,mobile
293,4,504,3,2022-08-02 13:41:00,14.56,0.87,15.43,credit
294,3,505,4,2022-08-02 16:13:00,5.5,0.33,5.83,credit
295,15,506,10,2022-08-02 09:54:00,40.5,2.43,42.93,credit
296,3,509,6,2022-08-03 09:15:00,4.0,0.24,4.24,credit
297,248,511,6,2022-08-03 13:48:00,18.0,1.08,19.08,debit
298,3,512,3,2022-08-04 13:42:00,16.5,0.99,17.49,mobile
299,103,513,5,2022-08-04 10:59:00,6.94,0.42,7.36,credit
300,4,514,12,2022-08-04 09:56:00,5.06,0.3,5.36,credit
301,9,516,12,2022-08-04 16:26:00,9.5,0.57,10.07,credit
302,67,517,12,2022-08-04 12:36:00,9.0,0.54,9.54,mobile
303,11,519,11,2022-08-04 13:35:00,4.0,0.24,4.24,credit
304,2,521,11,2022-08-04 10:56:00,25.25,1.51,26.76,credit
305,1,524,3,2022-08-05 14:59:00,20.0,1.2,21.2,credit
306,1,525,12,2022-08-05 13:59:00,8.0,0.48,8.48,mobile
307,2,526,7,2022-08-05 09:42:00,11.75,0.7,12.45,mobile
308,11,527,1,2022-08-05 12:41:00,4.5,0.27,4.77,credit
309,3,528,5,2022-08-05 14:59:00,6.0,0.36,6.36,debit
310,5,529,14,2022-08-05 14:29:00,8.0,0.48,8.48,credit
311,5,530,1,2022-08-05 10:43:00,5.0,0.3,5.3,debit
312,10,531,7,2022-08-05 09:59:00,10.85,0.65,11.5,credit
313,2,532,7,2022-08-05 13:43:00,8.25,0.49,8.74,credit
314,2,533,14,2022-08-06 15:45:00,15.75,0.94,16.69,credit
315,8,534,7,2022-08-06 12:52:00,10.47,0.63,11.1,mobile
316,1,535,7,2022-08-06 09:56:00,5.5,0.33,5.83,debit
317,1,537,3,2022-08-06 16:56:00,4.5,0.27,4.77,mobile
318,11,538,1,2022-08-06 13:48:00,11.0,0.66,11.66,credit
319,2,539,10,2022-08-06 15:48:00,39.25,2.35,41.6,credit
320,2,540,12,2022-08-06 16:59:00,11.25,0.67,11.92,credit
321,67,542,2,2022-08-06 09:31:00,7.0,0.42,7.42,mobile
322,67,543,6,2022-08-06 10:38:00,4.5,0.27,4.77,credit
323,196,544,4,2022-08-06 11:36:00,8.0,0.48,8.48,credit
324,15,545,12,2022-08-06 09:29:00,8.0,0.48,8.48,mobile
325,103,546,10,2022-08-07 11:27:00,31.44,1.89,33.33,debit
326,2,547,6,2022-08-07 13:36:00,14.75,0.89,15.64,mobile
327,103,549,7,2022-08-07 14:57:00,17.44,1.05,18.49,credit
328,3,550,2,2022-08-07 10:11:00,4.5,0.27,4.77,debit
329,14,551,3,2022-08-07 16:59:00,11.33,0.68,12.01,mobile
330,11,553,10,2022-08-07 09:44:00,28.5,1.71,30.21,mobile
331,11,554,11,2022-08-07 15:56:00,5.5,0.33,5.83,mobile
332,4,555,14,2022-08-07 11:21:00,12.06,0.72,12.78,credit
333,1,556,13,2022-08-07 09:47:00,6.0,0.36,6.36,debit
334,16,557,13,2022-08-07 13:41:00,8.0,0.48,8.48,credit
335,1,558,4,2022-08-07 13:36:00,6.0,0.36,6.36,mobile
336,67,559,2,2022-08-08 16:59:00,11.0,0.66,11.66,credit
337,10,561,14,2022-08-08 14:56:00,7.85,0.47,8.32,credit
338,3,562,1,2022-08-08 12:57:00,6.0,0.36,6.36,mobile
339,3,564,13,2022-08-08 14:43:00,18.0,1.08,19.08,mobile
340,4,565,13,2022-08-08 11:48:00,6.56,0.39,6.95,credit
341,198,566,3,2022-08-08 14:39:00,3.5,0.21,3.71,credit
342,39,567,10,2022-08-08 11:18:00,5.5,0.33,5.83,credit
343,8,568,6,2022-08-09 11:59:00,25.97,1.56,27.53,credit
344,4,569,1,2022-08-09 14:26:00,33.06,1.98,35.04,debit
345,103,570,12,2022-08-09 10:45:00,6.94,0.42,7.36,credit
346,3,571,2,2022-08-09 11:33:00,9.5,0.57,10.07,mobile
347,2,572,3,2022-08-09 16:51:00,5.25,0.32,5.57,credit
348,1,574,13,2022-08-09 12:59:00,4.0,0.24,4.24,credit
349,3,575,2,2022-08-09 11:28:00,8.0,0.48,8.48,credit
350,39,576,1,2022-08-09 16:37:00,5.5,0.33,5.83,mobile
351,3,577,12,2022-08-10 11:59:00,30.5,1.83,32.33,credit
352,2,578,6,2022-08-10 10:45:00,29.25,1.75,31.0,credit
353,1,579,5,2022-08-10 10:40:00,4.5,0.27,4.77,credit
354,11,580,7,2022-08-10 10:43:00,15.0,0.9,15.9,credit
355,67,581,7,2022-08-10 11:59:00,7.0,0.42,7.42,mobile
356,9,583,13,2022-08-11 14:27:00,18.0,1.08,19.08,mobile
357,8,584,10,2022-08-11 14:37:00,20.97,1.26,22.23,mobile
358,2,586,6,2022-08-11 16:58:00,20.25,1.21,21.46,debit
359,1,587,6,2022-08-12 14:59:00,5.5,0.33,5.83,mobile
360,8,589,13,2022-08-12 11:24:00,8.97,0.54,9.51,credit
361,4,592,1,2022-08-12 15:37:00,5.56,0.33,5.89,mobile
362,4,593,14,2022-08-12 16:55:00,12.06,0.72,12.78,credit
363,11,594,2,2022-08-12 09:43:00,26.0,1.56,27.56,mobile
364,5,596,13,2022-08-13 16:43:00,17.0,1.02,18.02,credit
365,198,597,3,2022-08-13 14:28:00,8.0,0.48,8.48,mobile
366,11,599,1,2022-08-13 16:43:00,5.5,0.33,5.83,debit
367,13,600,12,2022-08-13 14:19:00,16.5,0.99,17.49,mobile
368,10,601,6,2022-08-13 15:56:00,6.35,0.38,6.73,credit
369,1,604,11,2022-08-13 11:59:00,8.0,0.48,8.48,debit
370,39,605,12,2022-08-13 10:58:00,4.0,0.24,4.24,credit
371,39,606,10,2022-08-13 14:52:00,21.0,1.26,22.26,credit
372,248,607,13,2022-08-14 16:56:00,5.5,0.33,5.83,credit
373,5,609,3,2022-08-14 16:34:00,4.0,0.24,4.24,mobile
374,9,610,2,2022-08-14 10:51:00,8.0,0.48,8.48,credit
375,14,613,6,2022-08-14 14:56:00,12.83,0.77,13.6,debit
376,4,615,5,2022-08-15 15:58:00,8.06,0.48,8.54,credit
377,4,616,3,2022-08-15 16:56:00,10.06,0.6,10.66,mobile
378,5,617,7,2022-08-15 10:20:00,9.5,0.57,10.07,credit
379,79,622,13,2022-08-16 12:38:00,4.0,0.24,4.24,mobile
380,8,623,6,2022-08-16 14:59:00,23.97,1.44,25.41,credit
381,6,624,7,2022-08-16 10:57:00,10.0,0.6,10.6,credit
382,5,625,13,2022-08-16 09:19:00,3.5,0.21,3.71,mobile
383,1,627,6,2022-08-17 15:59:00,8.0,0.48,8.48,credit
