survey_id,customer_id,visit_id,survey_date,overall_satisfaction,likelihood_recommend,cleanliness_rating,staff_rating,cat_experience,food_quality,comments
33,48,355,2022-06-15,7,7,9,8,8,8.0,Best cat cafe in DC!
35,142,362,2022-06-15,6,7,6,8,5,7.0,
36,46,363,2022-06-15,7,6,8,8,7,6.0,The staff was so helpful.
37,185,364,2022-06-16,4,5,8,8,4,8.0,Will definitely come back.
39,146,375,2022-06-16,8,7,8,8,7,6.0,
40,142,378,2022-06-16,6,7,9,9,7,7.0,Would recommend to friends.
41,28,383,2022-06-17,7,6,7,8,7,,Relaxing atmosphere.
42,102,387,2022-06-17,7,6,8,8,6,6.0,
43,120,405,2022-06-18,7,7,8,7,8,9.0,Cat yoga was amazing!
44,192,420,2022-06-19,5,4,9,8,8,6.0,Perfect rainy day activity.
45,102,429,2022-06-19,7,6,8,7,7,9.0,Perfect rainy day activity.
47,1,440,2022-06-20,6,4,7,6,6,9.0,Perfect rainy day activity.
48,55,441,2022-06-20,7,6,7,9,8,8.0,Great experience!
49,130,442,2022-06-20,7,7,8,6,8,9.0,
50,153,447,2022-06-20,6,5,8,7,6,5.0,Would recommend to friends.
51,218,450,2022-06-21,9,9,8,9,9,7.0,
52,234,456,2022-06-21,6,6,8,7,5,8.0,
53,30,459,2022-06-21,5,6,8,7,8,9.0,
54,161,461,2022-06-21,6,6,9,7,6,8.0,
56,192,477,2022-06-22,7,7,7,7,7,6.0,Perfect rainy day activity.
57,143,479,2022-06-22,8,6,6,8,7,6.0,
58,114,481,2022-06-22,8,8,7,7,10,5.0,Best cat cafe in DC!
59,59,487,2022-06-23,4,5,8,8,6,7.0,Great experience!
60,53,488,2022-06-23,6,6,7,7,7,7.0,
61,99,496,2022-06-23,4,4,8,7,5,8.0,
62,78,510,2022-06-24,10,8,8,7,10,7.0,
63,23,527,2022-06-25,9,10,7,7,8,,Perfect rainy day activity.
64,56,534,2022-06-25,5,5,8,10,5,8.0,
65,225,536,2022-06-26,6,6,9,7,8,6.0,Cat yoga was amazing!
66,55,541,2022-06-26,6,7,7,7,8,5.0,My new favorite spot!
67,81,543,2022-06-26,5,4,8,8,9,7.0,The waffles were delicious.
68,12,549,2022-06-26,6,6,9,8,8,8.0,
69,49,551,2022-06-26,7,7,8,8,7,9.0,
70,51,576,2022-06-28,6,6,6,8,7,7.0,Loved the cats!
71,47,597,2022-06-29,8,7,8,8,8,9.0,Perfect rainy day activity.
72,243,611,2022-06-30,9,8,7,8,7,5.0,My new favorite spot!
73,215,614,2022-06-30,5,4,7,7,5,6.0,The staff was so helpful.
74,196,618,2022-06-30,5,7,8,9,5,9.0,The waffles were delicious.
75,238,623,2022-07-01,6,7,8,8,6,7.0,Perfect rainy day activity.
77,76,665,2022-07-03,8,10,9,8,10,8.0,A bit crowded today.
78,57,669,2022-07-03,4,3,7,9,5,,The staff was so helpful.
79,80,674,2022-07-04,9,9,9,8,10,6.0,
80,22,680,2022-07-04,9,9,8,7,8,7.0,Will definitely come back.
81,185,684,2022-07-04,6,7,7,7,7,,A bit crowded today.
82,76,698,2022-07-05,8,7,9,7,8,6.0,Wish there were more cats available.
83,178,704,2022-07-05,7,8,8,8,8,6.0,Wish there were more cats available.
84,198,705,2022-07-05,7,6,8,8,6,8.0,My new favorite spot!
85,130,714,2022-07-06,8,8,8,7,8,6.0,
86,159,715,2022-07-06,6,6,7,8,6,7.0,Will definitely come back.
87,95,722,2022-07-06,6,5,10,8,5,7.0,Would recommend to friends.
90,227,756,2022-07-08,7,7,7,8,6,7.0,The waffles were delicious.
91,166,759,2022-07-09,5,6,8,8,6,7.0,
92,116,766,2022-07-09,6,7,8,8,6,7.0,Perfect rainy day activity.
93,115,767,2022-07-09,6,5,7,8,6,7.0,
94,212,773,2022-07-09,4,6,8,8,4,8.0,
95,176,785,2022-07-10,5,3,8,7,5,7.0,Best cat cafe in DC!
96,10,793,2022-07-11,5,6,7,7,7,7.0,Will definitely come back.
97,29,797,2022-07-11,7,9,9,8,8,6.0,The waffles were delicious.
98,213,800,2022-07-11,8,8,8,9,10,8.0,
99,68,802,2022-07-11,7,8,9,8,8,6.0,
100,7,806,2022-07-11,5,5,7,9,9,7.0,My new favorite spot!
101,164,816,2022-07-12,7,8,7,7,8,4.0,Best cat cafe in DC!
102,6,823,2022-07-12,7,7,10,7,8,7.0,
103,20,827,2022-07-12,6,6,8,8,6,6.0,The waffles were delicious.
104,211,831,2022-07-13,6,7,8,8,5,7.0,Will definitely come back.
105,78,841,2022-07-13,8,7,7,8,6,7.0,Loved the cats!
106,52,842,2022-07-13,6,8,8,7,9,8.0,A bit crowded today.
107,138,844,2022-07-13,4,5,10,8,5,,Best cat cafe in DC!
108,21,849,2022-07-14,3,4,8,7,4,6.0,Wish there were more cats available.
109,42,853,2022-07-14,5,6,7,7,7,7.0,Will definitely come back.
110,120,854,2022-07-14,5,6,9,7,5,6.0,Relaxing atmosphere.
111,127,855,2022-07-14,6,7,8,7,6,7.0,Will definitely come back.
112,18,857,2022-07-14,7,6,9,8,7,6.0,The waffles were delicious.
113,98,860,2022-07-14,7,7,7,7,6,5.0,Great experience!
114,213,865,2022-07-15,9,9,8,7,10,6.0,Would recommend to friends.
116,219,880,2022-07-16,6,6,7,8,7,5.0,Wish there were more cats available.
117,212,884,2022-07-16,7,8,9,8,8,7.0,Great experience!
118,167,888,2022-07-16,6,7,7,7,6,8.0,Best cat cafe in DC!
119,246,892,2022-07-16,6,5,8,6,7,7.0,Coffee was excellent.
120,8,914,2022-07-18,6,7,9,8,8,8.0,Relaxing atmosphere.
121,233,916,2022-07-18,9,9,7,6,8,4.0,
122,230,919,2022-07-18,6,4,9,8,6,8.0,Perfect rainy day activity.
123,22,936,2022-07-19,7,7,9,7,6,7.0,My new favorite spot!
124,26,942,2022-07-19,6,4,9,8,6,,
125,118,945,2022-07-19,9,7,7,8,10,8.0,Cat yoga was amazing!
126,231,955,2022-07-20,4,2,9,7,4,5.0,Wish there were more cats available.
127,119,959,2022-07-20,6,6,8,8,7,8.0,Would recommend to friends.
128,236,960,2022-07-20,3,4,7,7,4,7.0,
129,210,975,2022-07-21,7,6,7,8,8,7.0,My new favorite spot!
130,41,976,2022-07-21,8,9,8,8,9,6.0,
131,30,985,2022-07-22,6,6,8,9,6,8.0,Relaxing atmosphere.
132,44,986,2022-07-22,7,8,7,8,9,7.0,The staff was so helpful.
133,8,996,2022-07-22,4,5,8,7,6,,Great experience!
134,182,998,2022-07-22,6,7,8,8,6,7.0,
135,28,1018,2022-07-24,5,5,7,8,5,7.0,
137,205,1028,2022-07-24,6,7,8,8,4,9.0,
138,15,1031,2022-07-24,5,6,8,8,5,7.0,
139,152,1035,2022-07-25,8,7,6,9,9,9.0,My new favorite spot!
140,45,1037,2022-07-25,7,7,5,8,6,7.0,
141,187,1048,2022-07-25,9,10,8,9,10,7.0,
142,132,1053,2022-07-26,6,6,8,7,6,7.0,Would recommend to friends.
143,20,1061,2022-07-26,5,5,7,8,5,7.0,Great experience!
144,41,1072,2022-07-27,7,7,8,9,9,8.0,My new favorite spot!
145,225,1082,2022-07-27,8,9,8,9,8,5.0,Will definitely come back.
146,96,1084,2022-07-27,5,5,9,7,5,7.0,My new favorite spot!
147,64,1105,2022-07-29,6,6,8,8,9,7.0,A bit crowded today.
148,194,1107,2022-07-29,6,7,8,9,6,7.0,
149,242,1123,2022-07-30,8,7,9,8,8,9.0,
150,245,1127,2022-07-30,7,7,8,7,7,9.0,Coffee was excellent.
151,239,1129,2022-07-30,7,7,8,8,7,7.0,My new favorite spot!
152,72,1134,2022-07-30,4,2,8,8,3,6.0,Coffee was excellent.
154,217,1143,2022-07-31,9,9,9,7,8,8.0,My new favorite spot!
155,173,1153,2022-07-31,9,8,6,7,8,7.0,Perfect rainy day activity.
156,17,1163,2022-08-01,6,6,6,10,6,8.0,Wish there were more cats available.
157,132,1167,2022-08-01,9,7,9,8,9,6.0,Coffee was excellent.
158,122,1178,2022-08-02,7,7,6,6,7,9.0,The waffles were delicious.
159,174,1183,2022-08-02,6,6,9,8,8,6.0,The waffles were delicious.
160,187,1186,2022-08-02,6,7,9,7,6,9.0,
162,209,1225,2022-08-05,5,3,7,6,5,4.0,
163,53,1235,2022-08-05,8,10,6,6,10,7.0,Great experience!
164,120,1236,2022-08-05,7,8,7,9,9,,
165,137,1251,2022-08-06,6,6,10,8,7,9.0,Best cat cafe in DC!
166,124,1260,2022-08-07,7,8,9,7,9,6.0,Best cat cafe in DC!
167,72,1269,2022-08-07,8,8,5,9,7,8.0,
168,197,1272,2022-08-07,6,6,9,9,2,7.0,
169,128,1273,2022-08-07,7,7,7,8,6,6.0,The staff was so helpful.
170,129,1275,2022-08-08,6,7,8,8,7,5.0,Loved the cats!
171,115,1279,2022-08-08,6,5,8,8,7,8.0,Will definitely come back.
172,120,1285,2022-08-08,9,8,7,8,10,5.0,My new favorite spot!
173,90,1287,2022-08-08,7,7,8,8,8,8.0,Relaxing atmosphere.
174,185,1290,2022-08-08,7,8,8,8,8,7.0,Perfect rainy day activity.
175,161,1295,2022-08-09,5,4,7,8,5,7.0,Great experience!
176,78,1297,2022-08-09,8,6,7,10,8,7.0,
177,150,1304,2022-08-09,8,9,7,7,10,6.0,Perfect rainy day activity.
178,167,1307,2022-08-09,6,7,7,8,5,6.0,Coffee was excellent.
179,88,1343,2022-08-12,7,7,8,8,7,7.0,
180,224,1346,2022-08-12,7,8,8,8,7,7.0,Would recommend to friends.
181,89,1363,2022-08-13,7,6,6,9,7,,Loved the cats!
182,147,1366,2022-08-13,6,6,8,8,6,7.0,
183,159,1370,2022-08-13,9,9,7,8,9,6.0,
184,190,1389,2022-08-14,7,6,9,8,7,7.0,Would recommend to friends.
185,24,1391,2022-08-14,7,9,8,9,9,5.0,Would recommend to friends.
186,103,1392,2022-08-14,10,9,9,7,10,8.0,Perfect rainy day activity.
187,178,1395,2022-08-15,7,7,7,8,7,5.0,
188,136,1398,2022-08-15,6,6,7,7,7,7.0,A bit crowded today.
189,2,1403,2022-08-15,9,9,7,8,8,8.0,
190,3,1405,2022-08-15,6,8,7,7,5,8.0,
192,42,1417,2022-08-16,8,8,9,8,7,6.0,
193,135,1425,2022-08-16,6,7,8,8,8,7.0,Loved the cats!
194,198,1428,2022-08-16,8,7,9,7,7,8.0,Perfect rainy day activity.
195,196,1430,2022-08-17,5,5,7,8,6,7.0,
196,156,1442,2022-08-17,5,5,7,8,5,8.0,Loved the cats!
197,168,1445,2022-08-17,8,7,7,9,7,6.0,Best cat cafe in DC!
198,223,1454,2022-08-18,3,4,7,9,5,7.0,A bit crowded today.
199,38,1459,2022-08-18,8,8,8,8,10,9.0,
200,217,1462,2022-08-18,10,10,8,8,10,7.0,Best cat cafe in DC!
201,65,1465,2022-08-19,8,8,8,7,6,7.0,Coffee was excellent.
202,175,1478,2022-08-19,5,6,8,8,5,,
203,165,1481,2022-08-20,5,5,7,7,6,7.0,Perfect rainy day activity.
204,95,1485,2022-08-20,9,10,6,9,10,6.0,Great experience!
205,184,1488,2022-08-20,7,6,7,8,7,7.0,Best cat cafe in DC!
206,30,1495,2022-08-20,8,6,8,8,9,8.0,
207,27,1509,2022-08-21,4,2,9,8,5,7.0,Loved the cats!
208,11,1514,2022-08-22,6,5,7,8,9,7.0,
209,230,1521,2022-08-22,5,6,8,9,6,6.0,My new favorite spot!
210,241,1525,2022-08-22,8,8,8,7,9,7.0,
211,138,1535,2022-08-23,9,10,6,8,10,7.0,Cat yoga was amazing!
212,6,1544,2022-08-23,9,10,6,8,9,,The staff was so helpful.
213,70,1545,2022-08-23,6,7,8,7,6,9.0,The staff was so helpful.
214,175,1546,2022-08-23,5,4,8,7,5,6.0,
215,85,1548,2022-08-23,7,8,8,6,7,7.0,The staff was so helpful.
216,206,1554,2022-08-24,6,5,8,8,6,8.0,
217,226,1564,2022-08-24,4,3,8,8,5,6.0,Relaxing atmosphere.
218,120,1581,2022-08-25,6,5,7,8,7,7.0,The staff was so helpful.
219,121,1593,2022-08-26,9,7,8,9,10,7.0,Wish there were more cats available.
220,115,1597,2022-08-26,8,9,8,8,8,7.0,Cat yoga was amazing!
221,220,1600,2022-08-27,5,4,7,7,5,6.0,Wish there were more cats available.
222,104,1602,2022-08-27,3,5,7,10,4,6.0,The waffles were delicious.
223,139,1608,2022-08-27,6,6,7,7,6,9.0,Perfect rainy day activity.
224,55,1623,2022-08-28,6,7,8,9,7,6.0,
225,206,1626,2022-08-28,6,8,8,8,7,9.0,Loved the cats!
226,42,1633,2022-08-28,7,6,9,9,8,6.0,Relaxing atmosphere.
227,90,1644,2022-08-29,8,8,8,7,8,9.0,Loved the cats!
228,207,1648,2022-08-29,5,4,9,7,5,8.0,Wish there were more cats available.
229,246,1651,2022-08-29,8,9,9,9,7,7.0,A bit crowded today.
230,195,1665,2022-08-30,8,7,7,9,9,7.0,Best cat cafe in DC!
231,138,1667,2022-08-30,7,7,8,8,8,6.0,
232,91,1670,2022-08-31,5,5,8,8,5,5.0,My new favorite spot!
233,17,1671,2022-08-31,6,6,9,9,5,7.0,The waffles were delicious.
234,155,1672,2022-08-31,8,7,5,7,8,9.0,The staff was so helpful.
235,94,1679,2022-08-31,7,7,9,8,6,7.0,Perfect rainy day activity.
236,245,1683,2022-08-31,7,7,8,8,7,8.0,The waffles were delicious.
237,141,1692,2022-09-01,8,8,8,7,6,9.0,
238,76,1697,2022-09-01,8,7,7,9,8,8.0,
239,210,1708,2022-09-02,8,7,9,8,9,8.0,
240,28,1710,2022-09-02,6,7,9,7,7,6.0,A bit crowded today.
241,203,1746,2022-09-04,10,10,8,8,10,7.0,Will definitely come back.
242,229,1751,2022-09-04,6,6,8,7,6,8.0,A bit crowded today.
243,46,1754,2022-09-04,6,5,6,9,6,7.0,Cat yoga was amazing!
244,121,1755,2022-09-05,7,6,10,6,9,,
245,205,1756,2022-09-05,6,6,8,8,7,9.0,Would recommend to friends.
246,164,1757,2022-09-05,6,7,7,8,8,8.0,
247,14,1769,2022-09-05,7,6,6,8,8,5.0,Cat yoga was amazing!
248,189,1779,2022-09-06,5,8,7,7,6,8.0,
249,115,1780,2022-09-06,7,8,8,8,10,5.0,Best cat cafe in DC!
250,151,1788,2022-09-06,5,4,8,9,6,7.0,The waffles were delicious.
251,36,1798,2022-09-07,7,8,8,8,6,6.0,
252,27,1800,2022-09-07,8,8,7,7,10,6.0,Would recommend to friends.
253,172,1801,2022-09-07,8,8,8,8,7,9.0,
254,164,1802,2022-09-07,8,8,7,8,8,8.0,Wish there were more cats available.
255,204,1808,2022-09-08,9,9,8,6,7,9.0,
256,64,1809,2022-09-08,7,9,9,8,10,6.0,The staff was so helpful.
257,14,1812,2022-09-08,6,7,9,7,7,6.0,
258,142,1815,2022-09-08,7,4,8,7,6,7.0,
260,27,1839,2022-09-09,7,6,7,7,6,5.0,Would recommend to friends.
262,202,1854,2022-09-10,5,6,7,9,6,5.0,
263,178,1873,2022-09-11,7,7,9,7,8,8.0,A bit crowded today.
264,147,1875,2022-09-12,9,8,8,7,9,7.0,Coffee was excellent.
265,2,1891,2022-09-12,7,7,7,6,7,9.0,
266,49,1904,2022-09-13,8,9,8,7,7,6.0,
267,82,1908,2022-09-13,4,6,9,8,6,8.0,Perfect rainy day activity.
268,169,1926,2022-09-14,7,7,8,8,6,7.0,Wish there were more cats available.
269,173,1941,2022-09-15,5,5,7,10,5,8.0,Would recommend to friends.
270,29,1946,2022-09-16,7,9,7,7,8,6.0,Wish there were more cats available.
271,182,1961,2022-09-17,4,4,7,7,7,,Relaxing atmosphere.
272,22,1962,2022-09-17,7,8,8,8,8,8.0,Would recommend to friends.
273,225,1972,2022-09-17,8,8,8,8,10,7.0,Relaxing atmosphere.
274,88,1974,2022-09-17,7,8,7,8,8,7.0,
275,77,1975,2022-09-17,6,7,8,7,7,7.0,
276,22,1978,2022-09-18,3,4,8,8,4,8.0,
277,32,1985,2022-09-18,7,8,9,8,9,6.0,Cat yoga was amazing!
278,71,1999,2022-09-19,7,8,7,6,5,7.0,
279,118,2003,2022-09-19,8,8,6,7,8,,Perfect rainy day activity.
280,20,2009,2022-09-19,4,6,9,6,5,7.0,Perfect rainy day activity.
281,55,2021,2022-09-20,7,8,7,8,9,7.0,A bit crowded today.
282,164,2029,2022-09-20,4,4,8,7,6,9.0,
283,57,2038,2022-09-21,8,8,6,8,8,6.0,
284,183,2042,2022-09-21,7,6,6,9,5,7.0,Will definitely come back.
285,156,2044,2022-09-21,7,6,8,8,6,7.0,Best cat cafe in DC!
286,125,2045,2022-09-21,4,5,8,7,3,7.0,
287,204,2046,2022-09-21,5,6,9,8,8,7.0,
288,175,2047,2022-09-22,7,7,8,7,6,10.0,
289,80,2050,2022-09-22,5,5,8,7,5,7.0,Best cat cafe in DC!
290,92,2054,2022-09-22,8,7,7,8,8,8.0,
291,209,2059,2022-09-22,6,7,9,8,7,6.0,The waffles were delicious.
292,242,2062,2022-09-22,5,5,9,8,8,7.0,Relaxing atmosphere.
293,198,2063,2022-09-22,7,7,7,7,7,5.0,
294,200,2067,2022-09-23,6,6,9,8,6,5.0,Cat yoga was amazing!
295,90,2086,2022-09-24,3,4,9,9,3,6.0,Coffee was excellent.
296,202,2087,2022-09-24,9,8,7,7,8,8.0,
297,109,2089,2022-09-24,8,8,7,8,9,6.0,
298,132,2091,2022-09-24,8,7,6,10,7,8.0,Will definitely come back.
300,165,2106,2022-09-25,10,9,8,8,10,9.0,
301,16,2107,2022-09-25,9,7,9,7,8,8.0,Great experience!
302,201,2124,2022-09-26,7,5,8,8,8,7.0,Coffee was excellent.
303,220,2136,2022-09-27,7,8,9,8,8,8.0,Would recommend to friends.
304,218,2139,2022-09-27,9,9,7,8,10,5.0,
305,104,2154,2022-09-28,7,5,6,7,8,6.0,
306,223,2158,2022-09-28,7,7,8,8,7,5.0,My new favorite spot!
307,71,2165,2022-09-28,7,7,6,7,7,8.0,
308,132,2180,2022-09-29,6,7,8,8,7,5.0,My new favorite spot!
309,111,2191,2022-09-30,7,8,7,7,8,7.0,Would recommend to friends.
310,230,2193,2022-09-30,9,10,7,10,9,5.0,The waffles were delicious.
311,208,2197,2022-09-30,5,5,7,7,4,,
312,95,2202,2022-10-01,6,5,9,7,6,9.0,My new favorite spot!
313,120,2207,2022-10-01,7,5,7,8,7,7.0,The waffles were delicious.
314,136,2209,2022-10-01,10,9,8,7,10,8.0,Would recommend to friends.
315,225,2210,2022-10-01,9,9,6,8,9,9.0,My new favorite spot!
316,113,2213,2022-10-01,5,5,6,9,6,6.0,Coffee was excellent.
317,150,2214,2022-10-01,8,10,8,7,8,7.0,
318,50,2218,2022-10-02,7,7,6,8,7,7.0,Relaxing atmosphere.
319,216,2221,2022-10-02,5,5,10,7,6,8.0,
320,92,2230,2022-10-02,4,4,7,8,3,6.0,
321,82,2234,2022-10-02,7,8,7,9,8,7.0,
322,177,2243,2022-10-03,6,7,8,7,6,8.0,Coffee was excellent.
323,2,2244,2022-10-03,8,8,8,8,8,6.0,Best cat cafe in DC!
324,47,2257,2022-10-04,8,8,7,7,10,6.0,Perfect rainy day activity.
325,107,2259,2022-10-04,7,7,7,7,7,7.0,Wish there were more cats available.
326,15,2262,2022-10-04,6,7,9,7,6,7.0,A bit crowded today.
327,24,2264,2022-10-04,5,4,9,7,8,8.0,A bit crowded today.
328,119,2265,2022-10-04,9,8,6,8,8,8.0,
329,58,2268,2022-10-04,7,7,8,9,7,10.0,Wish there were more cats available.
330,91,2277,2022-10-05,9,8,8,8,9,6.0,Best cat cafe in DC!
331,86,2280,2022-10-05,7,6,7,7,7,5.0,Relaxing atmosphere.
332,40,2292,2022-10-06,5,6,8,9,4,5.0,Cat yoga was amazing!
333,183,2296,2022-10-06,7,7,7,6,6,7.0,The staff was so helpful.
334,67,2297,2022-10-06,6,7,8,7,8,6.0,
335,157,2302,2022-10-06,8,8,7,8,10,8.0,Perfect rainy day activity.
336,219,2308,2022-10-07,5,5,7,7,6,7.0,Great experience!
337,203,2314,2022-10-07,9,10,8,8,10,7.0,Will definitely come back.
338,70,2315,2022-10-07,7,8,8,6,10,,
339,31,2317,2022-10-07,7,7,7,8,7,4.0,Would recommend to friends.
340,26,2330,2022-10-08,8,7,9,7,8,7.0,My new favorite spot!
341,62,2334,2022-10-08,6,7,7,8,6,7.0,The staff was so helpful.
342,245,2337,2022-10-08,5,6,9,7,4,7.0,Loved the cats!
343,155,2341,2022-10-09,6,6,7,9,7,5.0,
344,95,2344,2022-10-09,7,7,7,8,9,7.0,Wish there were more cats available.
345,88,2348,2022-10-09,7,7,9,7,8,10.0,Perfect rainy day activity.
346,119,2349,2022-10-09,7,7,8,8,6,4.0,
347,61,2356,2022-10-10,8,9,7,8,9,6.0,
348,202,2360,2022-10-10,8,5,8,8,9,6.0,
349,156,2372,2022-10-10,7,6,5,8,5,9.0,Perfect rainy day activity.
350,121,2375,2022-10-11,9,8,8,6,10,7.0,Loved the cats!
351,24,2377,2022-10-11,8,8,6,8,8,8.0,
352,24,2385,2022-10-11,9,8,8,8,10,,Coffee was excellent.
353,182,2387,2022-10-11,6,7,6,8,10,7.0,A bit crowded today.
354,227,2388,2022-10-11,9,10,8,9,10,5.0,
355,69,2391,2022-10-12,8,6,7,8,5,6.0,My new favorite spot!
356,70,2393,2022-10-12,2,1,9,8,2,7.0,The waffles were delicious.
357,190,2410,2022-10-13,7,6,7,8,8,8.0,Coffee was excellent.
358,2,2413,2022-10-13,6,6,8,7,5,7.0,My new favorite spot!
359,1,2427,2022-10-14,4,4,7,8,4,8.0,My new favorite spot!
360,187,2430,2022-10-14,6,6,6,7,7,6.0,
361,81,2453,2022-10-15,2,3,9,7,2,,Best cat cafe in DC!
362,210,2454,2022-10-15,4,5,8,7,3,,
363,76,2455,2022-10-15,7,7,8,7,8,8.0,The waffles were delicious.
364,238,2458,2022-10-15,8,7,6,9,6,6.0,Will definitely come back.
365,160,2470,2022-10-16,4,3,8,8,4,,
366,59,2473,2022-10-16,6,5,6,6,7,7.0,My new favorite spot!
367,179,2475,2022-10-16,5,6,7,8,6,8.0,
368,115,2476,2022-10-17,6,7,8,8,7,8.0,Best cat cafe in DC!
369,80,2492,2022-10-17,6,6,8,8,7,6.0,Would recommend to friends.
370,25,2500,2022-10-18,7,7,7,8,8,5.0,
371,200,2505,2022-10-18,9,9,9,9,10,6.0,Loved the cats!
372,230,2508,2022-10-18,4,5,6,9,6,6.0,Great experience!
373,187,2510,2022-10-19,4,4,8,7,3,7.0,Best cat cafe in DC!
375,238,2548,2022-10-21,7,8,8,7,7,6.0,
376,34,2569,2022-10-22,6,6,10,6,7,7.0,Best cat cafe in DC!
377,126,2580,2022-10-23,7,6,7,9,10,6.0,Coffee was excellent.
379,5,2590,2022-10-23,5,5,5,8,5,7.0,Would recommend to friends.
380,108,2594,2022-10-23,6,4,7,8,6,6.0,Cat yoga was amazing!
382,197,2601,2022-10-24,4,6,6,9,6,7.0,
383,196,2605,2022-10-24,6,6,8,9,7,6.0,Wish there were more cats available.
384,7,2611,2022-10-24,6,7,6,8,6,7.0,Best cat cafe in DC!
385,116,2620,2022-10-25,5,5,7,9,6,6.0,Perfect rainy day activity.
386,232,2624,2022-10-25,7,7,7,6,8,6.0,My new favorite spot!
387,216,2627,2022-10-25,8,8,9,9,10,8.0,Cat yoga was amazing!
388,220,2632,2022-10-26,8,8,8,9,9,4.0,My new favorite spot!
389,69,2634,2022-10-26,6,5,9,8,6,9.0,
390,121,2636,2022-10-26,7,8,6,10,8,7.0,
391,216,2649,2022-10-27,6,6,8,8,6,7.0,Loved the cats!
392,154,2651,2022-10-27,7,8,7,7,7,10.0,Perfect rainy day activity.
393,133,2654,2022-10-27,2,3,7,8,3,7.0,The waffles were delicious.
394,224,2655,2022-10-27,7,8,9,9,8,7.0,
395,53,2658,2022-10-27,6,5,7,8,6,6.0,Will definitely come back.
396,166,2664,2022-10-27,4,6,8,8,4,6.0,
397,152,2671,2022-10-28,6,5,8,8,8,7.0,Great experience!
398,186,2686,2022-10-29,6,8,7,8,6,4.0,The staff was so helpful.
399,177,2698,2022-10-29,7,7,7,8,9,9.0,
401,239,2701,2022-10-30,9,8,6,8,10,6.0,
402,167,2709,2022-10-30,3,4,9,6,3,7.0,Best cat cafe in DC!
403,39,2711,2022-10-30,5,5,6,9,6,7.0,Best cat cafe in DC!
404,163,2719,2022-10-31,7,6,7,7,8,7.0,
405,133,2730,2022-10-31,5,6,8,7,5,6.0,
406,56,2735,2022-11-01,8,7,9,8,8,,
407,245,2738,2022-11-01,5,5,7,8,5,6.0,Best cat cafe in DC!
408,245,2742,2022-11-01,6,6,8,7,6,9.0,Best cat cafe in DC!
409,100,2752,2022-11-02,7,7,9,8,6,9.0,Great experience!
410,29,2757,2022-11-02,10,10,7,7,9,8.0,Will definitely come back.
411,249,2761,2022-11-02,3,2,9,7,4,8.0,The staff was so helpful.
412,136,2765,2022-11-02,6,4,7,9,8,9.0,
413,226,2766,2022-11-02,4,4,7,8,5,8.0,My new favorite spot!
414,33,2768,2022-11-03,6,5,6,9,5,8.0,Cat yoga was amazing!
415,26,2770,2022-11-03,5,7,7,7,8,8.0,Relaxing atmosphere.
416,46,2772,2022-11-03,7,7,8,8,7,7.0,Would recommend to friends.
417,184,2777,2022-11-03,7,8,7,7,8,7.0,Wish there were more cats available.
418,88,2782,2022-11-03,8,8,8,7,10,9.0,
420,72,2787,2022-11-04,6,7,9,8,6,6.0,The staff was so helpful.
