interaction_id,visit_id,cat_id,type_id,duration_mins,staff_id,start_time,notes
106,97,17,2,35,1,10:15:00,
107,98,18,3,25,1,15:45:00,
108,98,15,2,35,1,16:15:00,Charlotte loved the younger cats.
109,107,1,6,28,11,17:03:00,
110,108,1,2,25,2,10:28:00,
111,109,1,1,33,14,13:20:00,
112,110,1,2,38,1,13:26:00,
113,111,1,1,31,1,14:19:00,
114,112,1,2,33,10,13:58:00,
115,113,1,8,16,4,10:21:00,
116,114,1,3,30,10,13:06:00,
117,115,1,4,15,14,09:59:00,
118,116,1,4,25,13,15:48:00,
119,117,1,4,36,3,15:30:00,
120,118,1,5,46,14,14:40:00,
121,119,1,5,33,13,09:19:00,
122,120,1,2,28,3,11:11:00,
123,121,1,3,28,7,14:22:00,
124,122,1,1,34,10,15:47:00,
125,123,1,5,33,13,12:30:00,
126,124,1,5,24,2,13:00:00,
127,125,1,6,32,10,13:46:00,
128,126,1,4,35,2,17:22:00,
129,127,1,5,27,14,16:19:00,
130,128,1,7,29,13,12:28:00,
131,129,1,7,31,4,16:05:00,
132,130,1,6,32,10,10:20:00,
133,131,1,1,29,3,17:03:00,
134,132,1,2,34,7,16:35:00,
135,133,1,3,37,2,10:41:00,
136,134,1,3,31,4,14:49:00,
137,135,1,7,40,2,15:47:00,
138,136,1,7,18,7,15:20:00,
139,137,1,8,22,7,09:28:00,
140,138,1,2,40,13,12:28:00,
141,139,1,4,35,5,12:44:00,
142,140,1,2,27,10,09:20:00,
143,141,1,5,46,3,11:33:00,
144,142,1,2,12,4,10:37:00,
145,143,1,7,17,14,15:05:00,
146,144,1,7,35,12,17:36:00,
147,145,1,8,15,6,15:55:00,
148,146,1,2,24,7,09:39:00,
149,147,1,3,22,1,12:14:00,
150,148,1,7,27,4,11:41:00,
151,149,1,6,25,3,15:41:00,
152,150,1,5,28,11,13:58:00,
153,151,1,4,19,5,09:26:00,
154,152,1,8,29,5,15:45:00,
155,153,1,2,36,13,12:16:00,
156,154,1,7,31,10,15:50:00,
157,155,1,7,34,2,14:34:00,
158,156,1,5,18,1,09:46:00,
159,157,1,7,16,12,15:19:00,
160,158,1,2,26,10,15:32:00,
161,159,1,3,34,4,12:44:00,
162,160,1,3,29,14,15:07:00,
163,161,1,7,30,14,15:10:00,
164,162,1,1,27,11,14:24:00,
165,163,1,1,41,4,12:54:00,
166,164,1,2,32,12,13:36:00,
167,165,1,4,49,3,18:13:00,
168,166,1,5,41,2,14:05:00,
169,167,1,8,35,13,10:02:00,
170,168,1,7,30,3,11:38:00,
171,169,1,1,17,1,12:55:00,
172,170,1,5,38,10,10:00:00,
173,171,1,4,35,5,13:47:00,
174,172,1,8,6,14,15:40:00,
175,173,1,6,29,14,10:30:00,
176,174,1,2,32,13,17:22:00,
177,175,1,2,31,12,15:56:00,
178,176,1,3,39,14,13:39:00,
179,177,1,2,29,11,11:40:00,
180,178,1,1,27,6,11:14:00,
181,179,1,5,26,2,17:58:00,
182,180,1,5,32,3,10:24:00,
183,181,1,7,36,11,17:41:00,
184,182,1,1,22,12,16:17:00,
185,183,1,7,25,4,09:23:00,
186,184,1,2,23,5,12:56:00,
187,185,1,3,16,11,09:34:00,
188,186,1,4,35,14,16:20:00,
189,187,1,1,37,14,16:41:00,
190,188,1,3,31,11,11:48:00,
191,189,1,5,22,13,16:14:00,
192,190,1,2,16,10,15:32:00,
193,191,1,5,27,12,13:07:00,
194,192,1,6,18,13,11:22:00,
195,193,1,5,27,11,14:44:00,
196,194,1,4,31,7,11:39:00,
197,195,1,6,31,1,12:19:00,
198,196,1,2,34,3,11:42:00,
199,197,1,6,32,7,16:05:00,
200,198,1,4,23,4,11:42:00,
201,199,1,5,24,13,13:07:00,
202,200,1,1,30,4,12:12:00,
203,201,1,2,30,12,09:34:00,
204,202,1,1,34,1,10:07:00,
205,203,1,8,30,14,15:20:00,
206,204,1,7,44,14,14:35:00,
207,205,1,3,23,1,16:50:00,
208,206,1,1,23,10,09:39:00,
209,207,1,6,36,10,17:59:00,
210,208,1,6,51,2,12:08:00,
211,209,1,2,24,6,17:27:00,
212,210,1,3,26,3,12:39:00,
213,211,1,3,28,3,11:54:00,
214,212,1,5,32,11,12:14:00,
215,213,1,7,22,14,12:16:00,
216,214,1,3,43,4,14:00:00,
217,215,1,2,29,2,11:53:00,
218,216,1,4,30,12,10:29:00,
219,217,1,1,28,11,12:59:00,
220,218,1,4,24,6,14:22:00,
221,219,1,3,22,7,15:41:00,
222,220,1,1,25,5,12:04:00,
223,221,1,5,23,2,16:42:00,
224,222,1,7,34,2,13:45:00,
225,223,1,5,31,1,17:39:00,
226,224,1,8,19,2,12:28:00,
227,225,1,3,38,14,13:39:00,
228,226,1,4,28,7,12:58:00,
229,227,1,7,28,12,10:30:00,
230,228,1,7,28,11,17:01:00,
231,229,1,3,25,13,15:03:00,
232,230,1,4,35,12,13:17:00,
233,231,1,5,28,5,14:23:00,
234,232,1,5,43,5,12:52:00,
235,233,1,3,34,11,12:03:00,
236,234,1,2,30,11,11:44:00,
237,235,1,1,26,5,13:05:00,
238,236,1,4,33,6,17:30:00,
239,237,1,6,29,10,12:06:00,
240,238,1,2,30,1,10:37:00,
241,239,1,4,32,6,17:13:00,
242,240,1,7,22,14,12:14:00,
243,241,1,1,27,11,12:55:00,
244,242,1,5,30,12,11:27:00,
245,243,1,7,40,13,15:09:00,
246,244,1,4,19,11,16:05:00,
247,245,2,1,32,3,12:51:00,
248,246,2,7,37,5,12:20:00,
249,246,1,8,33,13,12:57:00,
250,247,2,1,34,2,12:44:00,
251,248,2,1,36,13,17:24:00,
252,248,1,5,42,7,17:58:00,
253,249,2,2,56,4,11:56:00,
254,249,1,1,24,10,12:05:00,
255,250,1,7,20,6,16:56:00,
256,250,2,7,35,6,16:53:00,
257,251,1,4,35,7,14:05:00,
258,251,2,4,18,6,14:15:00,
259,252,2,7,42,6,16:40:00,
260,253,2,6,14,11,11:17:00,
261,253,1,3,40,4,10:26:00,
262,254,2,8,35,3,11:28:00,
263,254,1,1,38,1,11:11:00,
264,255,1,3,29,2,17:30:00,
265,255,2,7,35,1,17:01:00,
266,256,1,5,41,3,13:57:00,
267,256,2,3,30,14,13:57:00,
268,257,2,8,20,14,10:49:00,
269,258,2,6,11,11,14:40:00,
270,258,1,2,26,11,13:38:00,
271,259,2,3,33,5,15:22:00,
272,260,2,6,27,7,16:43:00,
273,260,1,1,34,14,16:53:00,
274,261,1,5,26,11,14:22:00,
275,261,2,7,35,13,14:31:00,
276,262,1,1,28,13,12:10:00,
277,262,2,7,28,4,11:30:00,
278,263,1,5,30,14,10:44:00,
279,263,2,2,27,4,10:26:00,
280,264,2,1,31,4,15:29:00,
281,265,2,1,22,4,11:20:00,
282,265,1,5,27,10,11:32:00,
283,266,2,5,38,2,10:58:00,
284,267,2,4,35,10,14:33:00,
285,268,2,1,39,6,11:46:00,
286,268,1,7,38,10,12:08:00,
287,269,2,6,27,7,10:38:00,
288,269,1,7,39,1,11:11:00,
289,270,2,8,32,4,14:49:00,
290,271,2,1,44,12,14:52:00,
291,271,1,5,28,11,15:02:00,
292,272,1,6,30,6,16:29:00,
293,273,2,6,20,14,17:50:00,
294,274,1,7,30,7,14:38:00,
295,275,1,1,17,11,09:42:00,
296,275,2,8,43,10,09:27:00,
297,276,2,7,31,1,12:11:00,
298,276,1,3,42,3,11:58:00,
299,277,2,4,22,1,14:24:00,
300,277,1,5,39,14,14:30:00,
301,278,1,4,26,13,14:22:00,
302,278,2,5,46,7,14:29:00,
303,279,1,3,34,10,12:55:00,
304,280,1,3,16,13,13:19:00,
305,281,1,7,28,2,09:19:00,
306,282,1,7,20,5,10:48:00,
307,282,2,8,30,14,11:31:00,
308,283,1,4,8,12,10:37:00,
309,283,2,2,28,7,11:06:00,
310,284,1,6,32,12,11:52:00,
311,285,2,6,36,14,14:29:00,
312,285,1,4,36,1,14:22:00,
313,286,1,8,24,5,14:36:00,
314,286,2,7,45,14,14:14:00,
315,287,2,5,29,6,10:47:00,
316,288,1,8,33,4,12:50:00,
317,289,2,5,39,2,14:09:00,
318,290,2,4,38,7,17:25:00,
319,291,2,3,23,10,11:51:00,
320,291,1,6,38,6,12:04:00,
321,292,2,3,41,14,12:33:00,
322,292,1,1,46,12,12:39:00,
323,293,2,8,44,6,13:27:00,
324,293,1,7,36,2,13:12:00,
325,294,2,8,36,1,09:28:00,
326,295,1,7,31,1,10:36:00,
327,296,1,4,28,1,15:42:00,
328,297,2,7,24,1,15:03:00,
329,297,1,8,28,2,15:06:00,
330,298,1,7,29,7,11:14:00,
331,298,2,6,38,13,11:18:00,
332,299,2,2,31,14,15:11:00,
333,300,2,8,22,11,13:19:00,
334,300,1,6,16,3,13:36:00,
335,301,1,2,35,12,10:16:00,
336,302,2,8,31,14,12:48:00,
337,302,1,2,39,6,11:41:00,
338,303,2,8,30,11,09:47:00,
339,303,1,1,27,4,10:45:00,
340,304,2,5,43,3,11:32:00,
341,304,1,2,36,4,11:35:00,
342,305,2,8,46,3,11:01:00,
343,305,1,2,36,3,11:12:00,
344,306,2,3,27,4,10:44:00,
345,307,2,6,22,14,10:42:00,
346,308,2,1,47,1,13:26:00,
347,308,1,3,36,5,13:13:00,
348,309,2,4,33,11,14:15:00,
349,310,1,3,31,4,09:44:00,
350,311,2,1,29,10,13:46:00,
351,312,1,8,34,7,15:04:00,
352,313,2,2,39,1,11:08:00,
353,314,2,1,33,11,13:40:00,
354,315,2,7,36,10,10:30:00,
355,315,1,2,23,5,09:27:00,
356,316,1,5,22,2,13:57:00,
357,316,2,3,37,10,13:16:00,
358,317,2,8,16,5,11:33:00,
359,318,2,3,17,3,11:20:00,
360,319,1,7,29,10,15:18:00,
361,319,2,7,41,1,15:26:00,
362,320,2,5,34,1,12:13:00,
363,320,1,8,30,12,11:55:00,
364,321,2,3,35,10,17:39:00,
365,321,1,3,39,3,17:30:00,
366,322,2,2,42,13,14:45:00,
367,323,2,5,21,7,10:26:00,
368,323,1,7,33,11,10:34:00,
369,324,2,4,38,14,17:15:00,
370,324,1,1,36,10,17:16:00,
371,325,2,8,20,7,10:34:00,
372,325,1,2,33,14,10:55:00,
373,326,2,8,35,5,14:07:00,
374,326,1,5,30,6,14:16:00,
375,327,2,3,27,14,11:08:00,
376,327,1,3,23,10,10:47:00,
377,328,1,7,28,14,14:09:00,
378,328,2,4,39,14,13:43:00,
379,329,1,5,32,13,11:53:00,
380,330,2,5,40,12,16:24:00,
381,330,1,6,33,5,16:10:00,
382,331,2,6,50,5,12:42:00,
383,331,1,3,35,7,12:40:00,
384,332,2,2,37,4,10:35:00,
385,333,1,2,23,2,10:40:00,
386,334,2,7,42,14,14:03:00,
387,335,1,5,34,4,11:43:00,
388,336,1,4,24,1,16:52:00,
389,336,2,8,37,5,16:38:00,
390,337,2,4,25,5,10:09:00,
391,338,2,3,31,1,16:58:00,
392,338,1,7,34,5,17:00:00,
393,339,1,5,25,1,12:05:00,
394,339,2,3,46,5,12:59:00,
395,340,2,8,34,12,16:22:00,
396,340,1,4,30,13,15:29:00,
397,341,1,2,31,4,16:40:00,
398,342,1,3,17,12,10:00:00,
399,342,2,2,20,2,09:43:00,
400,343,2,2,27,4,13:51:00,
401,343,1,4,33,2,14:02:00,
402,344,2,3,25,5,15:23:00,
403,345,2,7,25,12,13:49:00,
404,346,1,6,30,11,12:12:00,
405,346,2,8,36,12,12:02:00,
406,347,1,7,38,2,10:35:00,
407,347,2,4,40,1,10:55:00,
408,348,1,1,29,3,17:16:00,
409,348,2,5,31,4,17:05:00,
410,349,2,1,24,7,16:41:00,
411,349,1,6,16,7,16:08:00,
412,350,2,2,31,14,16:15:00,
413,350,1,5,15,7,16:30:00,
414,351,1,6,38,1,14:45:00,
415,351,2,4,42,13,15:12:00,
416,352,2,3,31,7,15:25:00,
417,352,1,4,12,6,14:24:00,
418,353,1,1,43,3,15:33:00,
419,353,2,5,28,14,16:38:00,
420,354,1,7,25,7,11:34:00,
421,354,2,6,29,5,11:39:00,
422,355,2,6,32,6,15:50:00,
423,355,1,8,33,6,14:52:00,
424,356,2,8,46,11,15:54:00,
425,356,1,4,40,5,15:05:00,
426,357,1,6,43,3,13:31:00,
427,358,2,1,32,13,11:18:00,
428,358,1,6,25,1,11:10:00,
429,359,2,2,33,1,10:17:00,
430,360,2,3,29,11,12:54:00,
431,360,1,7,30,6,13:27:00,
432,361,3,4,28,10,16:20:00,
433,362,1,4,30,2,15:00:00,
434,362,3,7,29,1,15:01:00,
435,363,1,4,31,12,13:07:00,
436,364,2,6,24,14,13:55:00,
437,365,2,2,43,3,13:22:00,
438,366,3,7,37,10,10:57:00,
439,366,1,8,30,7,10:57:00,
440,366,2,5,21,14,11:12:00,
441,367,1,6,20,2,10:19:00,
442,368,2,3,17,1,11:49:00,
443,368,1,7,32,6,12:13:00,
444,369,2,1,36,3,15:09:00,
445,370,2,4,49,3,17:08:00,
446,371,2,2,37,6,10:53:00,
447,371,3,8,28,14,09:29:00,
448,371,1,6,37,13,09:52:00,
449,372,3,2,33,1,13:16:00,
450,373,1,5,25,12,13:00:00,
451,374,3,4,41,6,10:14:00,
452,375,3,1,26,11,12:54:00,
453,375,2,3,50,7,11:54:00,
454,376,2,4,25,11,12:28:00,
455,376,1,4,27,4,11:45:00,
456,377,1,8,29,6,12:28:00,
457,377,2,7,44,2,12:12:00,
458,378,3,8,15,2,15:43:00,
459,379,2,6,30,5,14:51:00,
460,380,3,1,43,1,14:53:00,
461,380,2,1,33,4,15:06:00,
462,381,3,2,33,1,11:17:00,
463,382,3,7,23,12,09:47:00,
464,383,2,7,43,2,16:48:00,
465,383,1,7,36,4,16:48:00,
466,384,1,6,21,12,12:16:00,
467,385,1,3,33,3,16:33:00,
468,386,3,8,34,6,10:41:00,
469,386,1,3,19,6,11:56:00,
470,387,1,5,30,4,12:24:00,
471,387,2,2,30,1,13:13:00,
472,388,1,5,23,5,12:30:00,
473,389,1,2,27,1,17:40:00,
474,390,3,3,43,5,16:12:00,
475,390,2,5,37,7,15:39:00,
476,391,1,4,26,3,13:49:00,
477,391,3,6,35,14,13:27:00,
478,392,2,2,32,3,14:05:00,
479,393,1,3,26,6,14:22:00,
480,393,2,2,31,11,14:24:00,
481,394,1,1,32,1,09:44:00,
482,395,1,2,25,11,12:33:00,
483,396,3,3,27,12,12:44:00,
484,397,2,6,12,14,16:58:00,
485,397,3,4,32,4,16:52:00,
486,397,1,2,35,10,16:53:00,
487,398,2,5,46,6,10:44:00,
488,399,3,6,37,11,16:39:00,
489,399,1,1,26,1,17:24:00,
490,400,3,4,29,2,12:23:00,
491,401,1,6,24,10,16:02:00,
492,402,3,8,30,6,09:16:00,
493,403,1,7,33,12,15:42:00,
494,404,2,4,35,11,10:05:00,
495,404,3,6,40,6,10:42:00,
496,404,1,5,35,10,09:12:00,
497,405,2,4,31,5,11:17:00,
498,405,1,8,40,14,11:16:00,
499,406,2,7,35,2,15:38:00,
500,407,1,2,29,5,13:02:00,
501,407,2,4,30,7,13:06:00,
502,408,3,6,35,12,11:22:00,
503,409,1,2,23,10,13:27:00,
504,410,2,7,25,6,16:53:00,
505,411,3,5,40,11,10:06:00,
506,411,1,4,18,13,10:14:00,
507,412,2,3,35,5,12:41:00,
508,412,3,2,33,13,13:24:00,
509,413,2,5,45,7,14:49:00,
510,413,1,7,35,2,15:07:00,
511,414,2,2,14,13,12:52:00,
512,414,1,6,27,7,13:09:00,
513,414,3,1,28,11,13:10:00,
514,415,2,2,32,11,14:48:00,
515,415,1,1,26,6,15:25:00,
516,416,1,3,27,11,15:09:00,
517,416,3,1,27,10,16:28:00,
518,416,2,1,40,7,16:07:00,
519,417,1,8,32,11,15:29:00,
520,417,2,1,12,2,15:28:00,
521,418,1,4,38,3,10:57:00,
522,418,3,1,20,14,11:06:00,
523,419,2,6,44,14,14:27:00,
524,420,1,8,6,5,11:20:00,
525,420,3,4,29,5,09:27:00,
526,421,2,8,26,3,16:42:00,
527,422,2,8,30,13,17:09:00,
528,422,3,2,40,6,16:42:00,
529,423,3,6,28,13,14:11:00,
530,424,3,2,33,11,14:47:00,
531,424,2,8,29,7,15:01:00,
532,424,1,4,31,3,14:11:00,
533,425,1,4,26,3,14:35:00,
534,425,2,4,37,5,14:46:00,
535,426,1,8,27,14,14:34:00,
536,427,3,7,30,13,17:27:00,
537,428,1,6,31,11,17:08:00,
538,429,3,4,46,5,09:10:00,
539,429,1,3,43,5,09:23:00,
540,430,1,1,23,14,14:45:00,
541,430,3,6,33,10,14:45:00,
542,430,2,3,26,13,14:26:00,
543,431,2,1,25,5,12:06:00,
544,432,1,8,22,4,09:20:00,
545,433,2,5,26,5,13:42:00,
546,433,1,4,37,13,14:08:00,
547,433,3,2,36,6,13:13:00,
548,434,3,2,6,2,13:54:00,
549,434,1,1,35,12,13:41:00,
550,435,2,5,31,5,13:11:00,
551,435,3,1,23,10,13:37:00,
552,436,3,6,20,13,11:17:00,
553,436,1,7,21,5,10:37:00,
554,437,1,4,36,7,13:43:00,
555,438,3,3,39,14,13:41:00,
556,439,3,8,34,3,12:57:00,
557,439,1,4,16,12,13:03:00,
558,440,2,2,33,13,14:49:00,
559,441,2,8,29,13,14:54:00,
560,441,1,5,41,5,15:58:00,
561,441,3,4,31,12,15:16:00,
562,442,2,8,17,10,14:27:00,
563,442,3,5,43,6,14:13:00,
564,443,1,4,33,10,10:22:00,
565,443,2,7,25,11,10:48:00,
566,444,2,8,24,6,11:10:00,
567,445,1,5,35,1,13:12:00,
568,445,3,2,33,7,12:34:00,
569,446,2,8,30,14,12:57:00,
570,447,1,3,39,14,15:50:00,
571,448,2,6,25,6,10:51:00,
572,448,3,2,27,13,11:55:00,
573,449,3,1,30,10,10:46:00,
574,449,2,2,39,12,10:58:00,
575,450,3,3,36,2,12:19:00,
576,450,2,5,43,7,13:23:00,
577,451,1,8,36,7,11:48:00,
578,451,3,5,41,3,11:27:00,
579,452,3,8,24,11,10:51:00,
580,453,3,4,39,13,18:18:00,
581,454,3,5,38,6,15:39:00,
582,455,2,8,41,4,14:00:00,
583,455,1,4,45,13,14:04:00,
584,456,1,5,42,13,09:39:00,
585,456,3,7,24,4,09:49:00,
586,457,2,8,28,13,09:38:00,
587,458,3,7,36,13,16:52:00,
588,458,2,5,35,6,17:17:00,
589,459,2,8,42,3,11:32:00,
590,460,3,3,30,11,10:03:00,
591,461,1,8,28,13,16:52:00,
592,462,3,3,30,12,10:33:00,
593,463,1,5,29,3,15:31:00,
594,463,2,1,33,4,15:41:00,
595,464,2,7,34,5,13:05:00,
596,464,3,1,33,12,13:06:00,
597,464,1,5,37,14,13:14:00,
598,465,3,3,31,6,17:09:00,
599,466,3,6,38,5,14:30:00,
600,467,1,6,37,11,16:15:00,
601,467,2,2,25,5,16:34:00,
602,468,3,6,32,6,10:19:00,
603,468,1,7,35,5,09:41:00,
604,469,1,8,35,6,13:26:00,
605,469,3,3,44,5,13:40:00,
606,470,2,4,29,2,10:05:00,
607,471,3,6,26,2,12:17:00,
608,471,2,1,30,4,12:24:00,
609,472,2,2,36,3,14:58:00,
610,472,1,1,39,7,15:34:00,
611,472,3,7,33,6,15:11:00,
612,473,1,4,31,3,16:10:00,
613,473,3,4,27,3,15:53:00,
614,473,2,8,28,11,15:59:00,
615,474,2,6,27,14,09:51:00,
616,475,3,1,23,11,16:33:00,
617,476,1,7,41,1,14:59:00,
618,477,1,7,36,4,11:05:00,
619,477,3,5,35,5,12:09:00,
620,478,2,8,36,1,10:19:00,
621,479,1,8,28,1,13:08:00,
622,480,3,7,31,13,15:25:00,
623,480,1,8,24,6,15:58:00,
624,481,3,8,39,1,15:46:00,
625,482,1,6,30,11,14:25:00,
626,483,1,4,28,3,17:51:00,
627,483,3,1,25,6,16:45:00,
628,484,2,3,25,1,17:10:00,
629,484,3,8,39,5,16:21:00,
630,485,2,3,42,3,13:38:00,
631,486,3,4,28,13,15:11:00,
632,487,2,4,26,1,10:37:00,
633,487,3,1,23,2,11:35:00,
634,487,1,6,24,5,11:15:00,
635,488,3,3,32,2,09:36:00,
636,488,2,3,26,10,09:50:00,
637,489,1,8,18,11,16:31:00,
638,489,3,2,31,1,16:32:00,
639,489,2,2,40,11,16:50:00,
640,490,3,4,33,14,14:07:00,
641,491,1,7,26,13,14:10:00,
642,491,3,7,43,6,14:19:00,
643,492,1,2,21,10,10:37:00,
644,492,2,7,38,12,10:31:00,
645,493,4,3,31,13,10:25:00,
646,494,4,6,34,12,09:35:00,
647,494,2,4,29,10,09:28:00,
648,494,19,5,23,6,09:47:00,
649,495,2,8,33,7,13:33:00,
650,495,1,8,40,12,13:34:00,
651,496,2,4,25,10,15:24:00,
652,497,2,6,18,14,16:03:00,
653,498,2,4,35,10,17:01:00,
654,499,3,5,28,2,16:04:00,
655,499,2,3,33,7,16:14:00,
656,500,2,4,33,12,14:09:00,
657,500,1,6,51,11,14:31:00,
658,501,19,1,32,13,16:00:00,
659,501,3,3,17,14,15:09:00,
660,501,1,6,19,5,15:11:00,
661,502,3,2,7,5,16:13:00,
662,503,1,1,32,13,15:56:00,
663,504,19,5,30,4,13:46:00,
664,505,1,3,43,11,16:20:00,
665,505,3,3,31,3,16:47:00,
666,506,1,2,31,2,10:50:00,
667,506,19,1,21,11,10:56:00,
668,507,2,6,36,6,10:24:00,
669,508,4,7,27,14,17:40:00,
670,508,2,1,39,7,17:54:00,
671,509,3,3,31,11,09:06:00,
672,509,4,2,42,2,09:23:00,
673,510,4,4,32,12,10:10:00,
674,510,19,3,39,12,10:26:00,
675,511,3,8,37,11,15:15:00,
676,512,1,1,37,5,14:33:00,
677,512,3,4,32,3,13:44:00,
678,513,3,6,49,10,11:20:00,
679,513,4,7,38,14,11:22:00,
680,514,2,6,42,2,10:02:00,
681,514,19,4,46,10,10:17:00,
682,514,3,3,37,10,09:57:00,
683,515,3,5,41,14,13:40:00,
684,516,4,8,28,11,16:07:00,
685,516,1,2,21,6,16:07:00,
686,516,19,6,35,14,16:55:00,
687,517,1,8,22,7,12:38:00,
688,517,19,5,37,6,12:25:00,
689,518,19,5,39,1,12:00:00,
690,519,1,1,25,3,13:53:00,
691,520,3,5,33,12,13:05:00,
692,521,1,4,29,3,10:40:00,
693,521,2,8,35,5,10:50:00,
694,521,3,8,33,14,10:39:00,
695,522,4,3,35,2,12:08:00,
696,522,2,3,30,5,11:35:00,
697,523,2,1,35,5,14:56:00,
698,524,4,3,37,7,14:57:00,
699,525,19,4,28,4,15:05:00,
700,525,4,4,33,3,13:53:00,
701,526,3,2,34,13,09:41:00,
702,527,4,3,17,1,12:57:00,
703,528,3,1,44,14,15:18:00,
704,529,1,5,49,13,14:51:00,
705,529,19,5,28,2,14:30:00,
706,529,3,7,38,14,15:06:00,
707,530,4,3,27,1,10:57:00,
708,530,2,7,38,1,10:56:00,
709,531,1,7,35,11,10:01:00,
710,531,19,1,28,11,11:18:00,
711,532,19,2,39,14,13:38:00,
712,532,3,6,46,13,13:47:00,
713,532,2,2,30,2,13:36:00,
714,533,1,1,16,4,15:42:00,
715,533,2,5,18,10,15:38:00,
716,534,1,8,48,14,12:50:00,
717,535,1,2,22,2,09:37:00,
