order_item_id,order_id,item_id,quantity,unit_price,line_total
158,105,1,1,5.5,6.56
159,106,15,1,4.5,4.5
160,107,13,1,3.5,3.5
161,108,12,1,4.0,4.0
162,109,5,1,6.0,6.0
163,110,12,1,4.0,4.0
164,110,20,1,8.0,9.06
165,111,6,2,3.5,7.0
166,112,10,1,4.0,4.0
167,113,15,1,4.5,4.5
168,113,4,1,5.5,5.5
169,113,13,1,3.5,3.5
170,113,12,1,4.0,4.0
171,113,17,1,8.0,8.0
172,114,13,1,3.5,3.5
173,115,15,1,4.5,4.5
174,115,20,1,8.0,8.0
175,115,17,1,8.0,8.0
176,115,15,1,4.5,5.75
177,116,17,1,8.0,8.0
178,117,11,1,5.5,5.5
179,118,19,1,7.0,8.06
180,119,15,2,4.5,10.25
181,120,8,1,6.0,6.0
182,120,17,2,8.0,16.0
183,121,19,1,7.0,8.06
184,122,3,1,4.5,4.5
185,123,20,1,8.0,8.0
186,123,25,1,20.0,20.0
187,123,4,1,5.5,6.75
188,124,15,1,4.5,5.75
189,125,20,1,8.0,9.06
190,126,18,1,10.0,10.97
191,127,19,1,7.0,7.0
192,127,9,1,4.0,4.0
193,127,24,1,18.0,18.97
194,128,15,1,4.5,4.5
195,129,4,1,5.5,6.56
196,130,5,1,6.0,6.0
197,130,3,2,4.5,9.97
198,131,20,1,8.0,9.25
199,132,8,1,6.0,6.0
200,133,20,1,8.0,8.0
201,133,23,1,15.0,16.25
202,134,13,1,3.5,3.5
203,135,20,2,8.0,16.0
204,136,17,1,8.0,10.27
205,137,13,1,3.5,3.5
206,138,19,1,7.0,7.0
207,138,6,1,3.5,3.5
208,138,5,1,6.0,6.97
209,139,9,2,4.0,9.25
210,140,16,1,9.5,10.56
211,141,6,1,3.5,3.5
212,141,21,1,25.0,25.0
213,142,19,2,7.0,15.25
214,143,20,1,8.0,8.0
215,144,14,2,3.0,6.0
216,145,4,1,5.5,5.5
217,145,2,2,5.0,10.0
218,145,24,1,18.0,19.25
219,146,18,1,10.0,10.0
220,146,22,1,8.0,8.0
221,147,1,1,5.5,5.5
222,147,5,1,6.0,6.0
223,148,17,1,8.0,8.0
224,149,11,2,5.5,11.0
225,149,3,1,4.5,4.5
226,149,13,1,3.5,3.5
227,149,10,1,4.0,4.0
228,150,15,1,4.5,4.5
229,150,13,1,3.5,4.47
230,151,4,1,5.5,5.5
231,152,23,1,15.0,16.06
232,153,8,1,6.0,6.0
233,153,20,1,8.0,8.0
234,154,13,1,3.5,3.5
235,154,4,1,5.5,5.5
236,155,18,1,10.0,10.0
237,156,8,1,6.0,6.0
238,157,6,1,3.5,4.75
239,158,9,2,4.0,8.0
240,158,20,1,8.0,8.0
241,159,25,1,20.0,20.85
242,160,13,1,3.5,3.5
243,160,20,1,8.0,9.06
244,161,11,1,5.5,5.5
245,162,17,1,8.0,8.0
246,162,10,1,4.0,4.0
247,162,16,1,9.5,9.5
248,162,16,2,9.5,19.0
249,162,10,1,4.0,4.0
250,163,12,1,4.0,4.0
251,163,15,1,4.5,4.5
252,163,9,1,4.0,4.0
253,163,10,1,4.0,4.0
254,163,3,1,4.5,5.75
255,164,9,1,4.0,4.0
256,165,5,2,6.0,12.0
257,166,2,1,5.0,5.0
258,166,13,1,3.5,3.5
259,167,4,1,5.5,5.5
260,167,17,1,8.0,8.0
261,168,15,1,4.5,5.75
262,169,15,1,4.5,5.56
263,170,2,1,5.0,6.06
264,171,20,2,8.0,16.0
265,172,1,1,5.5,5.5
266,172,4,1,5.5,5.5
267,173,3,2,4.5,10.83
268,174,12,2,4.0,8.0
269,174,6,1,3.5,4.56
270,175,2,1,5.0,5.0
271,175,21,1,25.0,25.0
272,175,13,1,3.5,3.5
273,176,9,2,4.0,8.0
274,176,12,2,4.0,8.0
275,176,9,1,4.0,4.0
276,176,19,2,7.0,14.0
277,176,4,1,5.5,6.75
278,177,3,1,4.5,5.47
279,178,9,1,4.0,4.0
280,179,1,1,5.5,5.5
281,179,4,2,5.5,11.0
282,179,14,1,3.0,3.0
283,179,2,1,5.0,5.0
284,180,11,2,5.5,11.0
285,180,13,2,3.5,7.0
286,181,4,1,5.5,6.75
287,182,4,1,5.5,5.5
288,182,13,1,3.5,4.35
289,183,15,2,4.5,9.97
290,184,2,1,5.0,5.0
291,185,13,1,3.5,3.5
292,186,10,1,4.0,4.0
293,186,13,1,3.5,3.5
294,187,3,1,4.5,4.5
295,187,24,1,18.0,18.97
296,188,20,1,8.0,8.0
297,189,18,1,10.0,10.0
298,190,19,1,7.0,7.0
299,191,18,1,10.0,10.0
300,192,20,1,8.0,9.25
301,193,6,1,3.5,3.5
302,193,3,1,4.5,4.5
303,193,3,1,4.5,5.56
304,194,16,1,9.5,9.5
305,194,19,1,7.0,7.0
306,194,12,1,4.0,4.0
307,195,4,2,5.5,11.0
308,195,6,1,3.5,4.75
309,196,14,1,3.0,3.0
310,197,4,1,5.5,5.5
311,197,14,1,3.0,3.0
312,197,20,2,8.0,16.0
313,197,18,1,10.0,10.85
314,198,11,1,5.5,5.5
315,199,4,1,5.5,5.5
316,200,2,1,5.0,5.0
317,201,1,1,5.5,6.56
318,202,1,1,5.5,5.5
319,203,13,1,3.5,3.5
320,204,8,1,6.0,6.0
321,205,9,1,4.0,4.0
322,206,5,1,6.0,7.06
323,207,18,1,10.0,10.0
324,207,14,1,3.0,3.0
325,208,13,1,3.5,3.5
326,208,5,1,6.0,6.0
327,208,4,2,5.5,11.0
328,208,13,1,3.5,4.75
329,209,6,1,3.5,3.5
330,210,18,2,10.0,21.06
331,211,2,1,5.0,5.0
332,212,24,1,18.0,18.0
333,213,1,1,5.5,6.75
334,214,12,1,4.0,4.0
335,215,20,2,8.0,16.0
336,215,5,1,6.0,6.0
337,215,1,1,5.5,5.5
338,216,12,1,4.0,4.0
339,216,4,1,5.5,5.5
340,216,6,1,3.5,4.56
341,217,5,1,6.0,6.0
342,218,20,1,8.0,8.0
343,219,20,2,8.0,16.0
344,219,21,1,25.0,26.83
345,220,13,1,3.5,3.5
346,220,15,2,4.5,9.0
347,221,2,2,5.0,10.0
348,221,2,2,5.0,10.0
349,221,21,1,25.0,25.0
350,221,12,1,4.0,4.0
351,221,14,2,3.0,7.25
352,222,2,1,5.0,6.25
353,223,13,1,3.5,3.5
354,223,6,1,3.5,3.5
355,224,14,1,3.0,3.0
356,225,4,1,5.5,5.5
357,225,12,2,4.0,9.06
358,226,10,1,4.0,4.0
359,227,16,1,9.5,9.5
360,227,3,1,4.5,4.5
361,227,13,1,3.5,4.35
362,228,4,1,5.5,5.5
363,229,3,1,4.5,4.5
364,229,14,1,3.0,3.0
365,230,4,2,5.5,12.25
366,231,2,1,5.0,5.0
367,231,21,1,25.0,25.0
368,231,20,1,8.0,8.0
369,231,20,2,8.0,16.0
370,231,14,1,3.0,4.25
371,232,18,1,10.0,10.0
372,233,14,1,3.0,3.0
373,234,16,1,9.5,10.75
374,235,24,1,18.0,18.0
375,235,13,1,3.5,3.5
376,235,13,1,3.5,3.5
377,236,16,1,9.5,9.5
378,237,12,1,4.0,4.97
379,238,5,1,6.0,6.0
380,239,1,1,5.5,5.5
381,239,20,1,8.0,8.0
382,239,15,1,4.5,5.56
383,240,18,1,10.0,10.0
384,241,19,1,7.0,7.0
385,241,6,1,3.5,3.5
386,241,21,1,25.0,25.0
387,241,20,1,8.0,8.0
388,241,2,1,5.0,5.0
389,242,15,1,4.5,5.56
390,243,3,1,4.5,5.94
391,244,17,1,8.0,8.0
392,244,15,1,4.5,4.5
393,245,16,1,9.5,9.5
394,246,20,2,8.0,16.0
395,246,4,1,5.5,6.75
396,247,16,1,9.5,9.5
397,247,2,1,5.0,5.0
398,248,8,2,6.0,12.0
399,248,14,1,3.0,3.97
400,249,23,1,15.0,15.0
401,250,12,2,4.0,8.0
402,250,4,1,5.5,5.5
403,251,14,1,3.0,3.0
404,251,4,1,5.5,5.5
405,252,6,1,3.5,4.47
406,253,20,1,8.0,8.0
407,254,15,1,4.5,5.94
408,255,24,1,18.0,18.0
409,255,10,1,4.0,4.0
410,256,20,1,8.0,8.0
411,256,23,1,15.0,15.0
412,257,11,1,5.5,5.5
413,257,12,1,4.0,5.44
414,258,18,1,10.0,11.25
415,259,4,1,5.5,5.5
416,259,16,1,9.5,9.5
417,260,12,1,4.0,4.0
418,260,22,1,8.0,9.44
419,261,5,1,6.0,7.25
420,262,15,1,4.5,4.5
421,263,15,1,4.5,5.56
422,264,1,1,5.5,6.56
423,265,20,1,8.0,9.06
424,266,4,2,5.5,11.0
425,267,10,1,4.0,4.0
426,268,12,1,4.0,4.0
427,269,9,1,4.0,4.0
428,270,13,1,3.5,4.56
429,271,8,1,6.0,7.44
430,272,20,1,8.0,8.0
431,272,4,2,5.5,11.0
432,273,20,2,8.0,16.0
433,274,1,1,5.5,5.5
434,275,16,2,9.5,19.0
435,276,20,1,8.0,8.0
436,277,13,2,3.5,8.44
437,278,4,1,5.5,6.47
438,279,17,2,8.0,16.0
439,280,2,1,5.0,5.97
440,281,10,1,4.0,4.0
441,282,15,2,4.5,9.0
442,282,15,1,4.5,4.5
443,283,3,1,4.5,5.75
444,284,20,2,8.0,17.25
445,285,20,1,8.0,8.0
446,286,20,1,8.0,8.0
447,287,4,1,5.5,5.5
448,287,4,1,5.5,5.5
449,287,6,1,3.5,4.94
450,288,19,1,7.0,7.0
451,289,20,1,8.0,8.97
452,290,20,1,8.0,8.85
453,291,10,1,4.0,5.25
454,292,19,1,7.0,7.0
455,293,20,1,8.0,8.0
456,293,11,1,5.5,6.56
457,294,4,1,5.5,5.5
458,295,20,1,8.0,8.0
459,295,5,2,6.0,12.0
460,295,15,1,4.5,4.5
461,295,10,2,4.0,8.0
462,295,20,1,8.0,8.0
463,296,9,1,4.0,4.0
464,297,24,1,18.0,18.0
465,298,6,1,3.5,3.5
466,298,13,2,3.5,7.0
467,298,5,1,6.0,6.0
468,299,4,1,5.5,6.94
469,300,12,1,4.0,5.06
470,301,16,1,9.5,9.5
471,302,13,1,3.5,3.5
472,302,4,1,5.5,5.5
473,303,10,1,4.0,4.0
474,304,18,2,10.0,20.0
475,304,12,1,4.0,5.25
476,305,25,1,20.0,20.0
477,306,20,1,8.0,8.0
478,307,13,1,3.5,3.5
479,307,6,1,3.5,3.5
480,307,13,1,3.5,4.75
481,308,15,1,4.5,4.5
482,309,5,1,6.0,6.0
483,310,20,1,8.0,8.0
484,311,2,1,5.0,5.0
485,312,18,1,10.0,10.85
486,313,13,2,3.5,8.25
487,314,15,1,4.5,4.5
488,314,8,1,6.0,6.0
489,314,12,1,4.0,5.25
490,315,16,1,9.5,10.47
491,316,1,1,5.5,5.5
492,317,3,1,4.5,4.5
493,318,1,2,5.5,11.0
494,319,9,1,4.0,4.0
495,319,4,1,5.5,5.5
496,319,8,2,6.0,12.0
497,319,3,1,4.5,4.5
498,319,5,2,6.0,13.25
499,320,18,1,10.0,11.25
500,321,19,1,7.0,7.0
501,322,15,1,4.5,4.5
502,323,20,1,8.0,8.0
503,324,17,1,8.0,8.0
504,325,9,1,4.0,4.0
505,325,16,1,9.5,9.5
506,325,20,1,8.0,8.0
507,325,12,1,4.0,4.0
508,325,15,1,4.5,5.94
509,326,11,1,5.5,5.5
510,326,20,1,8.0,9.25
511,327,20,1,8.0,8.0
512,327,20,1,8.0,9.44
513,328,15,1,4.5,4.5
514,329,16,1,9.5,11.33
515,330,15,1,4.5,4.5
516,330,6,1,3.5,3.5
517,330,4,2,5.5,11.0
518,330,16,1,9.5,9.5
519,331,11,1,5.5,5.5
520,332,1,2,5.5,12.06
521,333,5,1,6.0,6.0
522,334,20,1,8.0,8.0
523,335,5,1,6.0,6.0
524,336,4,2,5.5,11.0
525,337,19,1,7.0,7.85
526,338,8,1,6.0,6.0
527,339,24,1,18.0,18.0
528,340,1,1,5.5,6.56
529,341,6,1,3.5,3.5
530,342,11,1,5.5,5.5
531,343,21,1,25.0,25.97
532,344,12,1,4.0,4.0
533,344,18,2,10.0,20.0
534,344,20,1,8.0,9.06
535,345,4,1,5.5,6.94
536,346,16,1,9.5,9.5
537,347,12,1,4.0,5.25
538,348,9,1,4.0,4.0
539,349,9,1,4.0,4.0
540,349,9,1,4.0,4.0
541,350,4,1,5.5,5.5
542,351,16,1,9.5,9.5
543,351,4,2,5.5,11.0
544,351,10,1,4.0,4.0
545,351,8,1,6.0,6.0
546,352,20,1,8.0,8.0
547,352,3,1,4.5,4.5
548,352,4,1,5.5,5.5
549,352,2,2,5.0,11.25
550,353,3,1,4.5,4.5
551,354,12,2,4.0,8.0
552,354,19,1,7.0,7.0
553,355,6,2,3.5,7.0
554,356,18,1,10.0,10.0
555,356,20,1,8.0,8.0
556,357,18,1,10.0,10.0
557,357,18,1,10.0,10.97
558,358,14,1,3.0,3.0
559,358,22,1,8.0,8.0
560,358,12,2,4.0,9.25
561,359,1,1,5.5,5.5
562,360,20,1,8.0,8.97
563,361,15,1,4.5,5.56
564,362,11,2,5.5,12.06
565,363,24,1,18.0,18.0
566,363,20,1,8.0,8.0
567,364,18,1,10.0,10.0
568,364,14,1,3.0,3.0
569,364,9,1,4.0,4.0
570,365,13,1,3.5,3.5
571,365,3,1,4.5,4.5
572,366,4,1,5.5,5.5
573,367,19,1,7.0,7.0
574,367,16,1,9.5,9.5
575,368,4,1,5.5,6.35
576,369,20,1,8.0,8.0
577,370,10,1,4.0,4.0
578,371,24,1,18.0,18.0
579,371,14,1,3.0,3.0
580,372,1,1,5.5,5.5
581,373,12,1,4.0,4.0
582,374,20,1,8.0,8.0
583,375,1,2,5.5,12.83
584,376,19,1,7.0,8.06
585,377,3,2,4.5,10.06
586,378,16,1,9.5,9.5
587,379,12,1,4.0,4.0
588,380,5,2,6.0,12.0
589,380,11,2,5.5,11.97
590,381,2,2,5.0,10.0
591,382,13,1,3.5,3.5
592,383,17,1,8.0,8.0
593,384,19,1,7.0,8.25
594,385,17,1,8.0,8.0
595,386,13,1,3.5,4.75
596,387,10,1,4.0,4.0
597,387,15,1,4.5,4.5
598,387,17,1,8.0,8.0
599,387,3,1,4.5,5.75
600,388,9,2,4.0,8.0
601,389,4,1,5.5,5.5
602,390,6,2,3.5,7.0
603,391,15,1,4.5,5.75
604,392,14,1,3.0,3.0
605,393,11,1,5.5,5.5
606,393,5,1,6.0,6.0
607,393,4,1,5.5,5.5
608,394,12,1,4.0,5.44
609,395,3,2,4.5,9.85
610,396,4,1,5.5,5.5
611,396,15,1,4.5,4.5
612,397,5,1,6.0,6.0
613,397,14,1,3.0,3.0
614,397,4,1,5.5,5.5
615,398,19,1,7.0,7.0
616,399,6,1,3.5,3.5
617,399,4,1,5.5,5.5
618,399,11,1,5.5,5.5
619,399,3,2,4.5,9.0
620,399,12,2,4.0,8.0
621,400,20,1,8.0,8.0
622,401,16,1,9.5,9.5
623,402,17,1,8.0,8.0
624,402,17,1,8.0,8.0
625,402,18,1,10.0,10.0
626,402,20,1,8.0,9.25
627,403,8,1,6.0,7.25
628,404,15,1,4.5,4.5
629,405,25,1,20.0,20.0
630,405,17,1,8.0,8.0
631,405,17,1,8.0,8.0
632,405,10,1,4.0,4.0
633,406,4,2,5.5,12.25
634,407,5,1,6.0,6.0
635,408,20,1,8.0,9.06
636,409,6,1,3.5,3.5
637,409,10,1,4.0,4.0
638,410,10,1,4.0,4.0
639,411,20,1,8.0,9.06
640,412,9,1,4.0,4.0
641,413,20,2,8.0,17.44
642,414,17,1,8.0,8.0
643,415,20,1,8.0,9.06
644,416,20,1,8.0,8.0
645,417,14,2,3.0,7.83
646,418,20,1,8.0,8.0
647,418,20,2,8.0,16.0
648,418,10,1,4.0,4.0
649,419,5,1,6.0,6.0
650,420,18,1,10.0,10.0
651,421,17,1,8.0,8.0
652,421,19,1,7.0,7.0
653,422,8,1,6.0,6.0
654,423,22,1,8.0,8.0
655,423,4,2,5.5,12.06
656,424,20,1,8.0,8.0
657,425,15,1,4.5,4.5
658,426,14,1,3.0,3.0
659,427,4,1,5.5,6.94
660,428,11,1,5.5,5.5
661,429,18,1,10.0,10.97
662,430,20,2,8.0,16.0
663,431,20,1,8.0,8.0
664,432,4,1,5.5,5.5
665,432,9,1,4.0,4.0
666,432,23,1,15.0,15.0
667,433,4,2,5.5,12.44
668,434,19,1,7.0,8.06
669,435,20,1,8.0,8.0
670,436,4,1,5.5,6.75
671,437,20,1,8.0,8.0
672,437,4,2,5.5,11.0
673,437,14,1,3.0,3.0
674,437,15,1,4.5,4.5
675,437,2,1,5.0,5.0
676,438,8,1,6.0,6.0
677,439,16,1,9.5,9.5
678,439,15,1,4.5,4.5
679,440,4,1,5.5,5.5
680,440,5,1,6.0,6.0
681,440,10,1,4.0,4.0
682,441,20,1,8.0,8.85
683,442,18,1,10.0,11.25
684,443,20,1,8.0,8.0
685,444,13,1,3.5,3.5
686,445,5,1,6.0,6.0
687,446,14,1,3.0,3.0
688,447,1,1,5.5,5.5
689,448,14,1,3.0,4.25
690,449,13,1,3.5,3.5
691,449,15,1,4.5,5.47
692,450,20,2,8.0,16.0
693,450,8,2,6.0,12.0
694,451,15,1,4.5,4.5
695,452,17,1,8.0,8.0
696,453,5,1,6.0,6.0
697,454,20,1,8.0,9.44
698,455,12,1,4.0,4.0
699,455,10,1,4.0,4.0
700,456,4,1,5.5,5.5
701,457,9,1,4.0,4.0
702,458,18,1,10.0,11.25
703,459,5,1,6.0,6.0
704,459,4,1,5.5,5.5
705,459,3,1,4.5,5.75
706,460,9,1,4.0,5.44
707,461,18,1,10.0,10.0
708,462,3,1,4.5,4.5
709,462,20,1,8.0,8.0
710,463,18,2,10.0,20.0
711,464,17,1,8.0,8.0
712,464,4,1,5.5,6.35
713,465,5,2,6.0,12.0
714,466,20,2,8.0,16.0
715,467,2,1,5.0,5.0
716,467,1,1,5.5,5.5
717,467,20,1,8.0,8.0
718,468,20,1,8.0,8.0
719,468,12,1,4.0,4.0
720,468,5,1,6.0,6.0
721,468,15,1,4.5,4.5
722,468,2,1,5.0,6.06
723,469,3,1,4.5,4.5
724,470,1,2,5.5,11.0
725,470,11,1,5.5,5.5
726,471,3,1,4.5,4.5
727,471,20,1,8.0,8.0
728,471,25,1,20.0,20.0
729,471,16,1,9.5,10.56
730,472,17,1,8.0,8.0
731,472,20,1,8.0,8.97
732,473,13,2,3.5,7.0
733,474,20,1,8.0,8.0
734,474,11,2,5.5,11.0
735,474,5,1,6.0,6.0
736,475,16,2,9.5,19.0
737,476,20,1,8.0,9.25
738,477,14,1,3.0,3.0
739,477,6,1,3.5,3.5
740,477,20,1,8.0,8.0
741,477,13,1,3.5,4.75
742,478,5,2,6.0,12.0
743,479,17,1,8.0,8.0
744,479,15,1,4.5,4.5
745,480,19,1,7.0,7.0
746,481,17,1,8.0,8.97
747,482,12,1,4.0,4.97
748,483,20,1,8.0,8.0
749,484,14,2,3.0,6.0
750,484,3,2,4.5,9.0
751,485,1,1,5.5,5.5
752,485,20,1,8.0,8.0
753,485,20,1,8.0,8.0
754,485,20,1,8.0,8.0
755,486,20,2,8.0,16.0
756,487,20,2,8.0,16.0
757,488,9,1,4.0,4.0
758,489,12,1,4.0,4.0
759,489,20,1,8.0,9.06
760,490,16,1,9.5,9.5
761,491,20,1,8.0,9.25
762,492,3,1,4.5,6.33
763,493,12,1,4.0,5.25
764,494,20,1,8.0,8.0
765,495,12,1,4.0,4.0
766,495,9,1,4.0,4.0
767,496,1,2,5.5,12.44
768,497,20,1,8.0,9.25
769,498,10,1,4.0,4.0
770,498,8,1,6.0,6.0
771,498,20,1,8.0,8.0
772,499,15,1,4.5,4.5
773,500,20,1,8.0,8.0
774,500,3,1,4.5,4.5
775,500,18,1,10.0,10.0
776,500,18,1,10.0,10.0
777,500,11,1,5.5,5.5
778,501,10,1,4.0,4.0
779,501,12,2,4.0,8.0
780,501,16,1,9.5,9.5
781,502,3,1,4.5,5.56
782,503,19,1,7.0,7.0
783,503,8,1,6.0,6.0
784,504,16,1,9.5,9.5
785,505,5,1,6.0,6.0
786,506,14,1,3.0,3.0
787,507,10,1,4.0,4.85
788,508,11,1,5.5,7.33
789,509,6,2,3.5,8.06
790,510,15,1,4.5,5.75
791,511,20,1,8.0,8.0
792,511,8,1,6.0,6.0
793,511,17,1,8.0,9.06
794,512,4,1,5.5,5.5
795,512,19,1,7.0,8.44
796,513,15,2,4.5,9.0
797,514,2,1,5.0,5.0
798,514,20,2,8.0,16.0
799,515,5,1,6.0,6.0
800,515,12,1,4.0,4.0
801,515,12,1,4.0,5.25
802,516,1,1,5.5,6.56
803,517,15,1,4.5,5.94
804,518,19,1,7.0,7.0
805,518,19,1,7.0,7.0
806,519,20,1,8.0,9.25
807,520,6,1,3.5,3.5
808,521,20,1,8.0,8.0
809,522,17,1,8.0,8.0
810,522,11,1,5.5,6.56
811,523,8,1,6.0,6.0
812,523,8,2,6.0,12.0
813,523,18,1,10.0,10.0
814,523,12,1,4.0,5.44
815,524,19,1,7.0,8.83
816,525,4,2,5.5,11.85
817,526,10,1,4.0,4.0
818,526,2,1,5.0,5.0
819,527,17,1,8.0,8.0
820,527,5,1,6.0,6.0
821,527,14,1,3.0,3.0
822,528,15,1,4.5,4.5
823,528,14,1,3.0,4.44
824,529,11,1,5.5,5.5
825,529,15,1,4.5,5.94
826,530,5,1,6.0,6.0
827,531,2,1,5.0,5.97
828,532,11,2,5.5,11.0
829,533,12,1,4.0,5.25
830,534,19,2,7.0,15.25
831,535,12,2,4.0,9.25
832,536,5,1,6.0,6.0
833,536,20,1,8.0,8.0
834,536,17,1,8.0,8.0
835,536,17,1,8.0,8.0
836,537,9,2,4.0,8.0
837,538,8,1,6.0,6.0
838,539,9,1,4.0,4.0
839,539,16,1,9.5,9.5
840,539,20,1,8.0,9.83
841,540,17,1,8.0,8.0
842,540,15,1,4.5,5.47
843,541,12,1,4.0,4.0
844,541,24,1,18.0,19.25
845,542,13,1,3.5,4.75
846,543,10,1,4.0,4.0
847,543,6,1,3.5,3.5
848,543,21,1,25.0,26.25
849,544,2,1,5.0,5.85
850,545,5,1,6.0,6.0
851,545,12,1,4.0,4.0
852,545,4,1,5.5,6.94
853,546,20,2,8.0,16.0
854,547,15,1,4.5,4.5
855,548,20,1,8.0,8.0
856,549,16,1,9.5,9.5
857,549,18,1,10.0,10.0
858,549,3,2,4.5,9.0
859,549,2,1,5.0,5.0
860,549,9,1,4.0,5.06
861,550,19,1,7.0,8.25
862,551,9,1,4.0,4.0
863,552,15,1,4.5,5.47
864,553,18,1,10.0,10.0
865,553,11,1,5.5,5.5
866,554,20,1,8.0,8.0
867,555,20,2,8.0,17.44
868,556,16,2,9.5,19.0
869,557,15,1,4.5,4.5
870,558,6,1,3.5,3.5
871,559,10,2,4.0,8.0
