visit_id,customer_id,visit_date,check_in_time,check_out_time,staff_id,cover_charge,discount_applied,notes
94,9,2024-11-09,11:00:00,12:30:00,1,15.0,1.5,
95,3,2024-11-16,14:00:00,15:30:00,3,15.0,3.75,
96,17,2024-11-23,10:00:00,11:30:00,2,15.0,15.0,
97,1,2024-11-30,13:00:00,14:30:00,1,15.0,6.0,
98,6,2024-12-07,14:00:00,15:30:00,3,15.0,1.5,
99,5,2024-12-14,11:00:00,13:00:00,2,15.0,3.75,Holiday photos.
100,10,2024-12-21,10:00:00,11:30:00,1,15.0,1.5,
101,1,2024-12-28,14:00:00,15:30:00,3,15.0,6.0,
102,19,2025-01-04,11:00:00,12:30:00,2,15.0,15.0,"First visit, very enthusiastic!"
103,8,2025-01-04,13:00:00,14:30:00,2,15.0,1.5,
104,1,2025-01-11,14:00:00,15:30:00,1,15.0,6.0,
105,3,2025-01-11,10:00:00,11:30:00,1,15.0,3.75,
106,19,2025-01-11,15:30:00,17:00:00,1,15.0,15.0,Second visit already!
107,2,2022-06-15,16:45:00,17:35:00,5,15.0,6.0,
108,4,2022-06-15,10:15:00,11:00:00,13,15.0,3.75,
109,1,2022-06-15,11:45:00,14:03:00,5,15.0,6.0,
110,6,2022-06-15,12:30:00,14:33:00,2,15.0,1.5,
111,8,2022-06-16,14:00:00,16:03:00,4,15.0,1.5,
112,4,2022-06-16,13:45:00,14:36:00,6,15.0,3.75,
113,6,2022-06-16,10:00:00,11:22:00,1,15.0,1.5,
114,2,2022-06-16,12:15:00,13:35:00,10,15.0,6.0,
115,2,2022-06-16,09:30:00,10:22:00,2,15.0,6.0,
116,3,2022-06-16,14:30:00,16:20:00,11,15.0,3.75,
117,1,2022-06-16,15:00:00,16:59:00,13,15.0,6.0,
118,3,2022-06-16,14:30:00,15:30:00,14,15.0,3.75,
119,11,2022-06-16,09:00:00,10:04:00,13,15.0,0.0,
120,1,2022-06-16,10:30:00,11:58:00,4,15.0,6.0,
121,2,2022-06-17,12:45:00,14:50:00,11,15.0,6.0,
122,2,2022-06-17,15:30:00,16:15:00,1,15.0,6.0,
123,7,2022-06-17,12:15:00,13:09:00,11,15.0,1.5,
124,2,2022-06-17,11:45:00,13:21:00,3,15.0,6.0,
125,3,2022-06-17,13:30:00,14:33:00,4,15.0,3.75,
126,5,2022-06-17,15:45:00,17:50:00,5,15.0,3.75,
127,2,2022-06-18,15:15:00,17:38:00,5,15.0,6.0,
128,8,2022-06-18,11:45:00,13:33:00,7,15.0,1.5,
129,1,2022-06-18,14:45:00,17:13:00,6,15.0,6.0,
130,6,2022-06-18,10:15:00,12:24:00,5,15.0,1.5,
131,4,2022-06-18,16:30:00,17:41:00,4,15.0,3.75,
132,14,2022-06-18,15:45:00,16:56:00,5,15.0,0.0,
133,7,2022-06-18,10:15:00,11:56:00,12,15.0,1.5,
134,1,2022-06-18,14:30:00,16:00:00,13,15.0,6.0,
135,1,2022-06-18,14:15:00,16:32:00,12,15.0,6.0,
136,2,2022-06-18,13:45:00,16:06:00,13,15.0,6.0,
137,1,2022-06-18,09:00:00,09:54:00,10,15.0,6.0,
138,8,2022-06-18,12:15:00,13:43:00,6,15.0,1.5,
139,5,2022-06-18,12:15:00,13:06:00,4,15.0,3.75,
140,2,2022-06-18,09:15:00,10:32:00,11,15.0,6.0,
141,5,2022-06-18,10:45:00,12:05:00,14,15.0,3.75,
142,8,2022-06-18,09:45:00,10:57:00,7,15.0,1.5,
143,4,2022-06-19,14:45:00,16:45:00,5,15.0,3.75,
144,1,2022-06-19,16:15:00,18:41:00,12,15.0,6.0,
145,1,2022-06-19,15:00:00,16:19:00,11,15.0,6.0,
146,7,2022-06-19,09:30:00,10:22:00,4,15.0,1.5,
147,11,2022-06-19,11:15:00,13:36:00,2,15.0,0.0,
148,10,2022-06-19,11:15:00,12:07:00,10,15.0,1.5,
149,2,2022-06-19,15:00:00,16:37:00,3,15.0,6.0,
150,1,2022-06-19,13:30:00,14:29:00,13,15.0,6.0,
151,13,2022-06-19,09:00:00,10:37:00,13,15.0,0.0,
152,8,2022-06-19,15:30:00,16:16:00,11,15.0,1.5,
153,1,2022-06-19,11:45:00,12:45:00,4,15.0,6.0,
154,2,2022-06-20,15:30:00,16:46:00,3,15.0,6.0,
155,11,2022-06-20,13:30:00,15:06:00,10,15.0,0.0,
156,5,2022-06-20,09:30:00,10:31:00,3,15.0,3.75,
157,9,2022-06-20,14:30:00,16:10:00,4,15.0,1.5,
158,15,2022-06-20,15:15:00,16:15:00,12,15.0,0.0,
159,10,2022-06-20,12:15:00,14:18:00,7,15.0,1.5,
160,1,2022-06-20,15:00:00,15:48:00,5,15.0,6.0,
161,10,2022-06-20,15:00:00,17:16:00,1,15.0,1.5,
162,9,2022-06-20,13:00:00,14:56:00,3,15.0,1.5,
163,6,2022-06-21,12:15:00,13:57:00,5,15.0,1.5,
164,2,2022-06-21,13:30:00,15:06:00,11,15.0,6.0,
165,3,2022-06-21,16:45:00,18:39:00,13,15.0,3.75,
166,2,2022-06-21,13:45:00,15:04:00,10,15.0,6.0,
167,11,2022-06-21,09:45:00,10:45:00,3,15.0,0.0,
168,2,2022-06-22,10:30:00,12:14:00,4,15.0,6.0,
169,2,2022-06-22,12:45:00,13:32:00,6,15.0,6.0,
170,8,2022-06-22,09:30:00,10:34:00,12,15.0,1.5,
171,5,2022-06-22,13:30:00,15:01:00,12,15.0,3.75,
172,2,2022-06-22,15:15:00,16:57:00,3,15.0,6.0,
173,1,2022-06-22,09:00:00,10:53:00,10,15.0,6.0,
174,3,2022-06-23,16:15:00,18:20:00,4,15.0,3.75,
175,1,2022-06-23,15:15:00,16:23:00,10,15.0,6.0,
176,15,2022-06-23,12:15:00,14:04:00,5,15.0,0.0,
177,11,2022-06-23,11:15:00,12:07:00,13,15.0,0.0,
178,2,2022-06-23,11:00:00,13:15:00,11,15.0,6.0,
179,2,2022-06-23,16:30:00,18:29:00,13,15.0,6.0,
180,1,2022-06-23,09:45:00,11:53:00,14,15.0,6.0,
181,7,2022-06-23,16:15:00,18:31:00,2,15.0,1.5,
182,11,2022-06-24,15:30:00,16:39:00,2,15.0,0.0,
183,6,2022-06-24,09:00:00,10:19:00,6,15.0,1.5,
184,5,2022-06-24,12:45:00,13:58:00,2,15.0,3.75,
185,8,2022-06-24,09:15:00,10:50:00,3,15.0,1.5,
186,8,2022-06-24,16:15:00,17:22:00,12,15.0,1.5,
187,4,2022-06-24,16:30:00,17:15:00,13,15.0,3.75,
188,2,2022-06-24,11:15:00,12:18:00,2,15.0,6.0,
189,6,2022-06-24,16:00:00,16:45:00,3,15.0,1.5,
190,5,2022-06-24,15:00:00,16:08:00,12,15.0,3.75,
191,8,2022-06-24,13:00:00,15:22:00,11,15.0,1.5,
192,2,2022-06-25,10:45:00,11:56:00,13,15.0,6.0,
193,2,2022-06-25,14:30:00,15:37:00,11,15.0,6.0,
194,8,2022-06-25,11:15:00,12:25:00,7,15.0,1.5,
195,3,2022-06-25,12:00:00,13:44:00,14,15.0,3.75,
196,2,2022-06-25,10:30:00,12:22:00,2,15.0,6.0,
197,1,2022-06-25,15:45:00,16:37:00,5,15.0,6.0,
198,6,2022-06-25,11:15:00,12:28:00,5,15.0,1.5,
199,7,2022-06-25,12:15:00,14:41:00,3,15.0,1.5,
200,1,2022-06-25,10:45:00,13:12:00,11,15.0,6.0,
201,1,2022-06-25,09:15:00,10:08:00,14,15.0,6.0,
202,4,2022-06-25,10:00:00,10:55:00,4,15.0,3.75,
203,2,2022-06-25,15:15:00,16:04:00,3,15.0,6.0,
204,6,2022-06-25,14:30:00,15:18:00,10,15.0,1.5,
205,8,2022-06-25,15:15:00,17:32:00,1,15.0,1.5,
206,9,2022-06-26,09:15:00,10:05:00,14,15.0,1.5,
207,3,2022-06-26,16:00:00,18:19:00,2,15.0,3.75,
208,10,2022-06-26,11:45:00,12:32:00,2,15.0,1.5,
209,3,2022-06-26,16:30:00,17:58:00,4,15.0,3.75,
210,2,2022-06-26,11:15:00,13:22:00,4,15.0,6.0,
211,6,2022-06-26,11:45:00,12:31:00,14,15.0,1.5,
212,2,2022-06-26,11:45:00,13:20:00,7,15.0,6.0,
213,2,2022-06-26,11:45:00,12:45:00,11,15.0,6.0,
214,1,2022-06-26,13:45:00,15:11:00,4,15.0,6.0,
215,3,2022-06-26,11:45:00,13:58:00,2,15.0,3.75,
216,14,2022-06-26,10:15:00,12:07:00,14,15.0,0.0,
217,1,2022-06-27,12:45:00,13:58:00,7,15.0,6.0,
218,4,2022-06-27,14:15:00,16:16:00,11,15.0,3.75,
219,5,2022-06-27,14:15:00,16:22:00,4,15.0,3.75,
220,1,2022-06-27,11:30:00,12:44:00,10,15.0,6.0,
221,10,2022-06-27,16:30:00,17:21:00,14,15.0,1.5,
222,5,2022-06-27,12:30:00,14:09:00,7,15.0,3.75,
223,4,2022-06-28,16:45:00,18:40:00,10,15.0,3.75,
224,1,2022-06-28,11:30:00,13:01:00,5,15.0,6.0,
225,5,2022-06-28,12:45:00,14:31:00,11,15.0,3.75,
226,1,2022-06-28,12:30:00,14:25:00,7,15.0,6.0,
227,1,2022-06-28,10:00:00,12:03:00,12,15.0,6.0,
228,4,2022-06-28,16:45:00,18:45:00,2,15.0,3.75,
229,1,2022-06-29,14:30:00,15:23:00,7,15.0,6.0,
230,6,2022-06-29,12:00:00,13:41:00,1,15.0,1.5,
231,5,2022-06-29,14:15:00,15:19:00,2,15.0,3.75,
232,3,2022-06-29,12:00:00,14:20:00,14,15.0,3.75,
233,2,2022-06-29,11:45:00,13:41:00,6,15.0,6.0,
234,5,2022-06-29,11:15:00,12:19:00,7,15.0,3.75,
235,1,2022-06-30,12:45:00,14:04:00,7,15.0,6.0,
236,3,2022-06-30,16:45:00,18:02:00,5,15.0,3.75,
237,1,2022-06-30,10:45:00,12:30:00,11,15.0,6.0,
238,4,2022-06-30,09:15:00,11:32:00,13,15.0,3.75,
239,1,2022-06-30,16:45:00,18:13:00,11,15.0,6.0,
240,2,2022-06-30,11:15:00,13:25:00,10,15.0,6.0,
241,5,2022-06-30,12:30:00,13:22:00,14,15.0,3.75,
242,4,2022-07-01,10:30:00,11:48:00,2,15.0,3.75,
243,5,2022-07-01,15:00:00,15:46:00,2,15.0,3.75,
244,12,2022-07-01,15:15:00,17:15:00,5,15.0,0.0,
245,3,2022-07-01,12:15:00,13:20:00,12,15.0,3.75,
246,2,2022-07-01,12:00:00,13:17:00,14,15.0,6.0,
247,2,2022-07-01,12:00:00,13:25:00,7,15.0,6.0,
248,5,2022-07-01,16:45:00,19:04:00,14,15.0,3.75,
249,17,2022-07-02,10:45:00,12:44:00,3,15.0,0.0,
250,2,2022-07-02,16:15:00,17:19:00,12,15.0,6.0,
251,4,2022-07-02,12:30:00,14:51:00,13,15.0,3.75,
252,8,2022-07-02,16:30:00,17:47:00,4,15.0,1.5,
253,1,2022-07-02,09:30:00,11:38:00,7,15.0,6.0,
254,8,2022-07-02,11:00:00,11:58:00,1,15.0,1.5,
255,1,2022-07-02,16:30:00,17:58:00,11,15.0,6.0,
256,4,2022-07-02,13:45:00,15:26:00,11,15.0,3.75,
257,8,2022-07-02,10:30:00,11:30:00,6,15.0,1.5,
258,2,2022-07-02,13:30:00,15:08:00,13,15.0,6.0,
259,12,2022-07-02,14:00:00,16:09:00,4,15.0,0.0,
260,2,2022-07-03,16:15:00,17:53:00,5,15.0,6.0,
261,1,2022-07-03,14:15:00,15:08:00,4,15.0,6.0,
262,5,2022-07-03,11:15:00,12:35:00,10,15.0,3.75,
263,1,2022-07-03,10:15:00,11:40:00,10,15.0,6.0,
264,18,2022-07-03,14:45:00,16:13:00,12,15.0,0.0,
265,3,2022-07-03,10:45:00,12:53:00,2,15.0,3.75,
266,8,2022-07-03,10:30:00,12:33:00,2,15.0,1.5,
267,10,2022-07-03,14:15:00,15:28:00,10,15.0,1.5,
268,2,2022-07-03,11:30:00,12:30:00,7,15.0,6.0,
269,14,2022-07-03,10:15:00,11:41:00,1,15.0,0.0,
270,4,2022-07-03,13:30:00,15:36:00,6,15.0,3.75,
271,4,2022-07-03,14:45:00,15:46:00,13,15.0,3.75,
272,11,2022-07-04,16:00:00,16:58:00,7,15.0,0.0,
273,2,2022-07-04,16:30:00,18:50:00,5,15.0,6.0,
274,1,2022-07-04,14:15:00,15:19:00,6,15.0,6.0,
275,9,2022-07-04,09:15:00,10:03:00,4,15.0,1.5,
276,2,2022-07-04,11:45:00,12:42:00,7,15.0,6.0,
277,1,2022-07-04,13:15:00,15:20:00,12,15.0,6.0,
278,3,2022-07-04,13:30:00,15:47:00,13,15.0,3.75,
279,1,2022-07-04,12:45:00,13:34:00,11,15.0,6.0,
280,7,2022-07-04,12:45:00,13:39:00,13,15.0,1.5,
281,1,2022-07-05,09:00:00,10:13:00,14,15.0,6.0,
282,8,2022-07-05,10:00:00,12:05:00,12,15.0,1.5,
283,5,2022-07-05,10:30:00,11:41:00,4,15.0,3.75,
284,4,2022-07-05,11:00:00,12:56:00,4,15.0,3.75,
285,1,2022-07-05,14:15:00,15:07:00,5,15.0,6.0,
286,3,2022-07-06,13:45:00,14:58:00,11,15.0,3.75,
287,3,2022-07-06,10:15:00,12:20:00,2,15.0,3.75,
288,1,2022-07-06,12:45:00,14:48:00,6,15.0,6.0,
289,2,2022-07-06,13:45:00,15:21:00,12,15.0,6.0,
290,11,2022-07-07,16:45:00,18:17:00,14,15.0,0.0,
291,6,2022-07-07,11:30:00,13:18:00,11,15.0,1.5,
292,3,2022-07-07,12:15:00,13:21:00,12,15.0,3.75,
293,10,2022-07-07,12:15:00,14:34:00,5,15.0,1.5,
294,4,2022-07-07,09:15:00,10:34:00,14,15.0,3.75,
295,7,2022-07-07,10:00:00,11:01:00,12,15.0,1.5,
296,3,2022-07-07,14:15:00,16:45:00,2,15.0,3.75,
297,2,2022-07-07,14:45:00,15:38:00,11,15.0,6.0,
298,1,2022-07-07,10:45:00,12:45:00,2,15.0,6.0,
299,3,2022-07-08,14:15:00,15:54:00,5,15.0,3.75,
300,11,2022-07-08,12:45:00,14:27:00,7,15.0,0.0,
301,3,2022-07-08,09:45:00,10:44:00,5,15.0,3.75,
302,19,2022-07-08,11:15:00,13:28:00,13,15.0,0.0,
303,2,2022-07-08,09:30:00,11:39:00,1,15.0,6.0,
304,4,2022-07-08,11:00:00,12:27:00,6,15.0,3.75,
305,4,2022-07-08,10:00:00,11:39:00,12,15.0,3.75,
306,2,2022-07-09,09:45:00,11:38:00,1,15.0,6.0,
307,5,2022-07-09,10:15:00,12:07:00,10,15.0,3.75,
308,4,2022-07-09,12:15:00,14:10:00,12,15.0,3.75,
309,17,2022-07-09,12:30:00,15:00:00,12,15.0,0.0,
310,14,2022-07-09,09:30:00,10:49:00,10,15.0,0.0,
311,16,2022-07-09,13:00:00,14:16:00,13,15.0,0.0,
312,2,2022-07-09,14:15:00,15:25:00,1,15.0,6.0,
313,4,2022-07-09,10:30:00,12:22:00,2,15.0,3.75,
314,9,2022-07-09,13:15:00,14:50:00,13,15.0,1.5,
315,2,2022-07-09,09:15:00,11:21:00,6,15.0,6.0,
316,2,2022-07-09,12:45:00,15:12:00,5,15.0,6.0,
317,8,2022-07-09,11:00:00,12:57:00,7,15.0,1.5,
318,3,2022-07-10,11:15:00,12:34:00,2,15.0,3.75,
319,5,2022-07-10,14:30:00,16:02:00,10,15.0,3.75,
320,196,2022-07-10,11:00:00,12:43:00,13,15.0,1.5,
321,10,2022-07-10,16:45:00,18:06:00,13,15.0,1.5,
322,11,2022-07-10,14:15:00,15:58:00,2,15.0,0.0,
323,2,2022-07-10,10:15:00,11:49:00,1,15.0,6.0,
324,10,2022-07-10,16:45:00,17:58:00,10,15.0,1.5,
325,13,2022-07-10,10:15:00,11:15:00,14,15.0,0.0,
326,8,2022-07-10,13:45:00,14:42:00,6,15.0,1.5,
327,3,2022-07-10,09:30:00,11:29:00,3,15.0,3.75,
328,5,2022-07-10,13:30:00,14:40:00,4,15.0,3.75,
329,6,2022-07-10,11:30:00,12:25:00,12,15.0,1.5,
330,13,2022-07-10,15:45:00,17:11:00,10,15.0,0.0,
331,1,2022-07-11,12:30:00,13:29:00,6,15.0,6.0,
332,2,2022-07-11,10:15:00,12:15:00,10,15.0,6.0,
333,8,2022-07-11,09:30:00,11:11:00,7,15.0,1.5,
334,8,2022-07-11,13:45:00,15:55:00,2,15.0,1.5,
335,2,2022-07-11,09:45:00,12:13:00,7,15.0,6.0,
336,5,2022-07-11,16:30:00,17:36:00,13,15.0,3.75,
337,8,2022-07-11,09:15:00,11:33:00,5,15.0,1.5,
338,7,2022-07-11,16:45:00,17:47:00,12,15.0,1.5,
339,1,2022-07-12,12:00:00,13:22:00,2,15.0,6.0,
340,3,2022-07-12,14:45:00,17:03:00,3,15.0,3.75,
341,7,2022-07-12,15:45:00,17:15:00,12,15.0,1.5,
342,196,2022-07-12,09:15:00,10:41:00,14,15.0,1.5,
343,1,2022-07-12,13:30:00,14:34:00,12,15.0,6.0,
344,2,2022-07-13,15:00:00,16:27:00,2,15.0,6.0,
345,4,2022-07-13,12:45:00,14:36:00,10,15.0,3.75,
346,13,2022-07-13,10:30:00,12:41:00,1,15.0,0.0,
347,2,2022-07-13,10:15:00,11:33:00,11,15.0,6.0,
348,16,2022-07-13,16:45:00,18:22:00,4,15.0,0.0,
349,2,2022-07-13,16:00:00,17:07:00,13,15.0,6.0,
350,10,2022-07-13,15:45:00,16:50:00,12,15.0,1.5,
351,3,2022-07-13,14:00:00,16:15:00,14,15.0,3.75,
352,8,2022-07-13,14:00:00,15:45:00,1,15.0,1.5,
353,2,2022-07-13,15:15:00,17:02:00,6,15.0,6.0,
354,3,2022-07-14,10:30:00,12:17:00,1,15.0,3.75,
355,1,2022-07-14,14:30:00,16:17:00,3,15.0,6.0,
356,7,2022-07-14,15:00:00,16:39:00,14,15.0,1.5,
357,4,2022-07-14,12:00:00,14:23:00,4,15.0,3.75,
358,5,2022-07-14,10:45:00,12:07:00,10,15.0,3.75,
359,13,2022-07-14,09:45:00,10:37:00,10,15.0,0.0,
360,2,2022-07-14,12:45:00,14:18:00,12,15.0,6.0,
361,3,2022-07-15,16:00:00,16:54:00,2,15.0,3.75,
362,7,2022-07-15,14:00:00,15:21:00,7,15.0,1.5,
363,1,2022-07-15,13:00:00,13:46:00,14,15.0,6.0,
364,3,2022-07-15,12:15:00,14:26:00,7,15.0,3.75,
365,4,2022-07-15,13:00:00,13:50:00,3,15.0,3.75,
366,2,2022-07-15,10:45:00,11:32:00,1,15.0,6.0,
367,1,2022-07-15,10:00:00,11:05:00,14,15.0,6.0,
368,2,2022-07-16,11:30:00,12:40:00,1,15.0,6.0,
369,1,2022-07-16,14:45:00,16:43:00,13,15.0,6.0,
370,2,2022-07-16,16:15:00,18:37:00,10,15.0,6.0,
371,11,2022-07-16,09:15:00,11:39:00,6,15.0,0.0,
372,6,2022-07-16,13:00:00,13:58:00,14,15.0,1.5,
373,4,2022-07-16,11:15:00,13:38:00,11,15.0,3.75,
374,196,2022-07-16,09:15:00,10:43:00,6,15.0,1.5,
375,5,2022-07-16,11:45:00,13:29:00,5,15.0,3.75,
376,2,2022-07-16,11:30:00,13:45:00,2,15.0,6.0,
377,11,2022-07-16,11:30:00,13:49:00,11,15.0,0.0,
378,7,2022-07-16,14:30:00,16:39:00,10,15.0,1.5,
379,1,2022-07-17,14:45:00,15:41:00,5,15.0,6.0,
380,4,2022-07-17,14:45:00,15:48:00,4,15.0,3.75,
381,8,2022-07-17,11:00:00,12:29:00,5,15.0,1.5,
382,1,2022-07-17,09:15:00,10:46:00,1,15.0,6.0,
383,5,2022-07-17,16:30:00,18:04:00,10,15.0,3.75,
384,2,2022-07-17,12:00:00,13:42:00,7,15.0,6.0,
385,4,2022-07-17,14:45:00,17:05:00,14,15.0,3.75,
386,14,2022-07-17,10:30:00,12:52:00,12,15.0,0.0,
387,3,2022-07-17,12:00:00,13:51:00,6,15.0,3.75,
388,13,2022-07-17,11:45:00,14:12:00,11,15.0,0.0,
389,2,2022-07-17,16:30:00,18:03:00,13,15.0,6.0,
390,1,2022-07-17,15:15:00,16:42:00,14,15.0,6.0,
391,2,2022-07-18,12:45:00,14:20:00,13,15.0,6.0,
392,1,2022-07-18,12:30:00,14:35:00,13,15.0,6.0,
393,3,2022-07-18,14:15:00,15:06:00,1,15.0,3.75,
394,2,2022-07-18,09:15:00,10:04:00,3,15.0,6.0,
395,11,2022-07-18,12:15:00,14:19:00,4,15.0,0.0,
396,10,2022-07-18,11:30:00,13:04:00,10,15.0,1.5,
397,11,2022-07-18,16:15:00,17:18:00,7,15.0,0.0,
398,4,2022-07-18,10:15:00,11:32:00,2,15.0,3.75,
